"Data Source","World Development Indicators",

"Last Updated Date","2016-07-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
"Afghanistan","AFG","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1117668151855","","","","","","","","","","13.7085556983948","","","","","","","","","","18.6112284660339","","19.480961561203","","","",
"Angola","AGO","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0510911941528","","","","","","","","","","20.932137966156","","","","","","","","","","40.4964327812195","","44.2952215671539","","","",
"Albania","ALB","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1343741416931","","","","","","","","","","50.5779564380646","","","","","","","","","","60.2636188268661","","62.0864123106003","","","",
"Arab World","ARB","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.2353631905548","","","","","","","","","","81.5636167069198","","","","","","","","","","86.0225203936597","","86.5805689069773","","","",
"United Arab Emirates","ARE","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4154919981956","","","","","","","","","","96.8056503683329","","","","","","","","","","99.9900000002526","","99.9900000002526","","","",
"Argentina","ARG","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.2555338740349","","","","","","","","","","93.1167222559452","","","","","","","","","","98.2236323878169","","99.1223521530628","","","",
"Armenia","ARM","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.75492191314699","","","","","","","","","","48.9358246326447","","","","","","","","","","85.3619024157524","","92.5345204770565","","","",
"American Samoa","ASM","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6201723217964","","","","","","","","","","95.1418347656727","","","","","","","","","","99.7754079522565","","99.9811096815392","","","",
"Australia","AUS","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
