,,,,,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1,EAP,East Asia & Pacific,AG.LND.AGRI.ZS,Agricultural land (% of land area),36.0176,36.2239,36.4395,36.6628,36.9175,37.1729,37.4359,37.6804,37.9784,38.3009,38.5425,38.9039,39.2989,39.7961,40.1330,39.6157,40.0789,40.4825,40.8871,41.4127,41.9269,42.4353,43.8550,44.3088,45.6100,46.3325,47.1189,47.8005,48.4008,48.5025,48.3402,48.2123,48.0475,48.0490,48.1476,48.1975,48.2340,48.4316,49.7199,49.8122,49.7717,49.6752,48.9398,49.2305,49.4403,49.7504,49.9209
2,ECA,Europe & Central Asia,AG.LND.AGRI.ZS,Agricultural land (% of land area),27.3357,27.4050,27.3970,27.3796,27.4909,27.4597,27.5131,27.5553,27.6904,27.6450,27.6426,27.7347,27.8250,27.8595,27.7179,27.8119,27.8767,27.8502,27.8612,27.8772,27.8814,27.9279,27.9431,27.9879,28.0492,28.0863,28.0305,28.0465,28.0676,28.0266,28.0049,29.3463,29.2313,29.2000,28.7816,28.6501,28.6467,28.4992,28.3470,28.4482,28.4237,28.3948,28.2938,28.2676,28.2429,28.2114,28.1320
3,EMU,Euro area,AG.LND.AGRI.ZS,Agricultural land (% of land area),56.0463,55.9928,55.8800,55.5507,55.4274,55.2670,55.2281,54.9070,54.9706,54.4070,53.6091,53.4508,53.2221,53.1163,52.9893,52.6313,52.5841,52.5829,52.3907,52.1522,52.1006,52.0529,51.6237,51.5123,51.4214,51.3062,51.1966,50.9288,50.9062,50.7203,49.4323,49.2027,49.1152,49.1108,48.6791,48.7257,48.5735,48.6010,48.5313,48.2566,47.9535,47.7420,47.5241,47.2468,47.1620,46.6128,46.4236
4,HIC,High income,AG.LND.AGRI.ZS,Agricultural land (% of land area),38.3494,38.3022,38.2945,38.2705,38.2891,38.2996,38.3540,38.2697,38.3659,38.3507,38.2833,38.2776,38.2997,38.2764,38.2439,38.2531,37.9593,37.8219,37.9055,37.9447,37.9300,37.8762,37.6492,37.8595,38.0034,38.0972,38.1107,38.2847,38.2703,38.3268,38.1827,38.1826,39.3961,39.5712,39.3301,39.2569,39.0342,39.0698,38.7288,38.7666,38.7491,38.4266,38.1977,38.1485,38.2208,37.8285,37.5267
5,HPC,Heavily indebted poor countries (HIPC),AG.LND.AGRI.ZS,Agricultural land (% of land area),35.3313,35.3899,35.4759,35.5371,35.6001,35.7326,35.7741,35.8557,35.9159,35.9350,36.0996,36.1633,36.1911,36.2124,36.2973,36.3570,36.4370,36.5344,36.5981,36.6460,36.6828,36.7275,36.7901,36.8456,37.0377,37.2737,37.3656,37.5802,37.7138,37.8204,37.9092,38.0728,37.4140,37.6253,37.8661,38.0852,38.3265,38.5237,38.6672,38.7818,38.9977,39.0554,39.3486,39.3897,39.8627,39.8952,39.9521
6,LAC,Latin America & Caribbean,AG.LND.AGRI.ZS,Agricultural land (% of land area),27.7633,28.0416,28.3066,28.5516,28.7570,28.9708,29.1590,29.4481,29.9151,30.0396,30.4087,30.6610,30.8733,31.1458,31.3996,31.6240,31.8497,31.9273,32.1107,32.2591,32.3992,32.6105,32.6879,32.8415,32.9792,33.2718,33.4190,33.5524,33.6827,33.9530,34.1687,34.3245,34.5297,34.5790,34.9705,35.1563,35.2178,35.3045,35.3826,35.3712,35.3192,35.3045,35.3505,35.5087,35.5331,35.5156,35.5740
7,LDC,Least developed countries: UN classification,AG.LND.AGRI.ZS,Agricultural land (% of land area),35.9921,36.0450,36.1351,36.1928,36.2487,36.3834,36.4200,36.4917,36.5275,36.5497,36.6320,36.6689,36.6649,36.6529,36.7001,36.7427,36.7565,36.8423,36.8667,36.9135,36.9158,36.9384,36.9921,36.9964,37.1843,37.3952,37.5067,37.7231,37.8471,37.9561,38.0137,38.0866,37.3949,37.5797,37.7863,37.9819,38.1963,38.3661,38.5079,38.6454,38.8622,38.9093,39.2235,39.2700,39.7293,39.7970,39.8730
8,LIC,Low income,AG.LND.AGRI.ZS,Agricultural land (% of land area),34.6964,34.7571,34.8492,34.9075,34.9750,35.1151,35.1590,35.2402,35.2881,35.3127,35.4039,35.4501,35.4553,35.4500,35.5071,35.5696,35.5993,35.6959,35.7222,35.7827,35.7886,35.8350,35.8977,35.9027,36.0443,36.1146,36.1194,36.2138,36.2679,36.3721,36.4432,36.6182,35.7331,35.8971,36.0238,36.1734,36.4011,36.5573,36.7747,36.9913,37.2768,37.3203,37.5791,37.6621,38.0954,38.1739,38.2384
9,LMC,Lower middle income,AG.LND.AGRI.ZS,Agricultural land (% of land area),40.7871,40.9771,41.1134,41.3111,41.5071,41.6617,41.8209,41.9786,42.1724,42.3705,42.5865,42.8473,43.1732,43.4948,43.7074,43.4675,43.7757,43.9684,44.2358,44.4788,44.8165,45.1481,45.9056,46.2438,47.0332,47.5814,48.0848,48.5799,48.9390,48.9907,49.0018,49.1765,49.2420,49.2745,49.4308,49.5318,49.5435,49.7842,50.3949,50.3925,50.5154,50.3215,50.0247,50.1727,49.8366,49.9909,50.1130
10,LMY,Low & middle income,AG.LND.AGRI.ZS,Agricultural land (% of land area),32.9685,33.0977,33.2015,33.3089,33.4379,33.5533,33.6609,33.7962,33.9898,34.0733,34.2448,34.4029,34.5565,34.7134,34.8031,34.7996,34.9507,35.0443,35.1678,35.2855,35.3653,35.5263,35.8002,35.9387,36.2540,36.4976,36.6858,36.8968,37.0601,37.1518,37.2128,37.5914,37.4559,37.5237,37.5767,37.6207,37.6728,37.7605,37.9726,38.0419,38.1225,38.0637,38.0052,38.1111,38.0860,38.1422,38.1860
11,MIC,Middle income,AG.LND.AGRI.ZS,Agricultural land (% of land area),32.5496,32.6954,32.8020,32.9213,33.0652,33.1746,33.2977,33.4462,33.6751,33.7729,33.9638,34.1490,34.3386,34.5348,34.6324,34.6129,34.7935,34.8863,35.0333,35.1649,35.2627,35.4514,35.7766,35.9475,36.3048,36.5905,36.8231,37.0624,37.2521,37.3408,37.3993,37.8273,37.8736,37.9181,37.9532,37.9717,37.9811,38.0523,38.2630,38.2964,38.3274,38.2439,38.1084,38.2199,38.0837,38.1345,38.1734
12,MNA,Middle East & North Africa,AG.LND.AGRI.ZS,Agricultural land (% of land area),23.2147,23.2022,23.2306,23.2367,23.2653,23.2621,23.3351,23.3703,23.4485,23.5329,23.8804,24.0119,24.0656,24.0759,23.9632,23.9946,23.9789,23.9389,24.0696,23.9289,23.4992,23.5918,23.6776,23.7594,23.7926,23.7945,23.8634,23.9435,23.9679,24.0135,24.2723,24.4567,24.5594,24.6467,24.6756,24.7488,24.7005,24.8389,24.6885,24.5461,24.6361,24.7370,24.8130,24.9254,22.9773,22.9562,23.0109
13,NOC,High income: nonOECD,AG.LND.AGRI.ZS,Agricultural land (% of land area),31.6171,31.6120,31.6204,31.6268,31.6409,31.6404,31.6424,31.6559,31.6676,31.6825,31.6848,31.6949,31.7084,31.7293,31.7332,31.7499,31.7655,31.7782,31.7901,31.8065,31.8223,31.8373,31.9079,33.6316,35.3586,37.0790,38.8039,40.5178,42.2300,43.9704,44.0272,43.9810,60.5634,60.5024,60.4687,60.2446,58.9802,59.0136,59.0322,59.0542,59.0277,58.9594,58.9354,59.0813,58.9414,58.9091,58.9091
