Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54894785,0.556844548,0.533570476,0.477516912,0.437550592,0.418398193,0.444303703,0.438174326,0.434712306,0.435108328,0.425777821,0.421318232,0.431336359,0.449521757,0.427988231,0.506252445,0.498384331,0.512418427,,,,
Andorra,AND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471933745,0.437773986,0.38739726,0.426948129,0.423552048,0.38324738,0.359695642,0.375712779,0.414406103,0.401167725,0.46386081,0.496471161,0.568068119,0.523887556,,
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.47194003,37.76544351,30.27167447,31.75099054,29.24973678,30.62285367,25.39474053,30.20560247,27.09154001,24.50744042,24.60324707,23.89137214,23.46312554,22.60392687
Angola,AGO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,13.79150009,13.68099976,14.20100021,18.9904995,17.72900009,18.35566711,24.17499924,10.30769231,11.57397733,6.646404386,7.312252964,7.026869166,9.002017942,13.03375828,6.290256828,5.664689564,8.156377022,,,,,,,,,,,,,,
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,33.60020616,32.40029884,31.69971047,34.10009748,33.09994105,34.60001209,34.00000038,33.20002472,31.49988182,32.3001977,35.90078991,39.29529516,51.64187027,54.64097649,53.62098061,55.81214471,37.47960475,32.70015992,30.47521817,27.11773208,26.49046231,24.45305457,24.23593287,24.33269861,22.93252109,21.2343279,20.22234444,19.87479759,19.42053473,19.40978082,20.65818885,20.95812415,21.66068033,22.50308997,22.8962858,22.04920605
Arab World,ARB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.908168976,10.35609314,9.882150415,9.561297787,8.647576195,7.736937057,7.525707845,7.048925496,6.173692748,,6.206860121,6.091827452,5.794311317,6.045991952,6.028182821,
United Arab Emirates,ARE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27858628,9.980386317,9.721276985,9.185892729,9.637560964,10.86594775,10.98486987,11.9525478,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.492024824,5.513866575,5.787003811,6.081254642,5.673366839,5.702933908,4.815329504,5.053021489,4.892806074,10.82208718,11.04233015,9.009673448,8.442570996,7.697516626,8.781106928,7.22788616,6.234805271,8.175131609,7.49246451,6.697421299,7.384589968,8.313524048,
Armenia,ARM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37626972,24.97346072,31.04272063,51.36559092,44.8709973,42.25531295,36.82596272,31.96867743,33.99572797,29.46402128,25.54787016,28.32815471,25.96189882,23.68209805,24.6622,20.89251738,20.45109791,20.28206022,18.39812089,18.9138923,19.15305157,22.81541556,20.06807001,20.7403686,20.80688276,19.35204045
American Samoa,ASM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,10.96339235,10.27319937,8.23177742,7.116745742,6.773101113,6.211767674,6.121703968,4.78374024,4.939140074,4.457445074,4.519128299,4.183446065,3.990074558,4.177577833,4.156458473,4.230733676,4.095351016,3.725817591,3.879533563,3.853373444,4.106819874,3.966907085,3.944996996,1.885686988,1.893072521,1.999795906,2.033127367,1.917465697,2.074016636,1.951262252,1.936580217,1.836498169,1.745460421,1.927114368,2.272136638,2.216846985,2.283734274,2.399290106,2.372414734
Australia,AUS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,7.033741836,8.550115918,9.590900219,7.231729801,6.316059799,6.152599816,5.454672042,7.758435542,7.877186668,6.692599819,6.100922677,4.435801996,6.133214031,5.673843057,5.091244747,4.958246094,5.208420669,5.364689764,4.587136353,3.479652349,3.349388167,3.548480351,3.64124088,3.310532615,3.715693377,3.55452507,3.317224091,3.328311934,3.386805167,3.837365258,4.309356054,3.18078577,3.378294167,3.161271122,2.976711476,2.401401649,2.520336033,2.466768133,2.378230484,2.466406797,2.446974566,2.481114851,2.405859435,2.384478722
Austria,AUT,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,5.775380631,4.9974703,4.988833302,4.840853289,4.884972104,4.486448066,4.116883461,3.859110618,4.088162308,3.567589196,3.657469889,3.623427952,3.463870742,3.419524303,3.500642365,3.17759178,2.771375761,2.487819501,2.674715493,2.408331712,2.225709086,2.147733318,2.020873752,1.943319771,1.84949489,1.874617103,1.757497563,1.67700861,1.666204716,1.423284544,1.470111885,1.599578734,1.514887546,1.297721573,1.434119959,1.610931198,1.536489988,1.433383422,1.402512762,1.329638246
Azerbaijan,AZE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02502802,32.31501686,28.5056167,28.48862115,32.99219397,27.28842832,27.5296626,21.73458154,18.92896334,19.1560716,17.14337347,16.10301355,15.17167667,13.46151444,11.84267051,9.895473393,7.500918359,7.002185706,5.970850713,6.6465395,5.920976527,5.393453691,5.492057227,5.660810486,5.691828905,6.791368003
