countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Afghanistan,2,Apples,515,Production (tonnes),5510,59500,59090,72765,59850,62041,70000,
Albania,3,Apples,515,Production (tonnes),5510,36000,45000,47202,54604,64000,71300,
Algeria,4,Apples,515,Production (tonnes),5510,190010,260967,267469,378637,404105,397529,
American Samoa,5,Apples,515,Production (tonnes),5510,,,,,,,
Andorra,6,Apples,515,Production (tonnes),5510,,,,,,,
Angola,7,Apples,515,Production (tonnes),5510,,,,,,,
Anguilla,258,Apples,515,Production (tonnes),5510,,,,,,,
Antigua and Barbuda,8,Apples,515,Production (tonnes),5510,,,,,,,
Argentina,9,Apples,515,Production (tonnes),5510,1000000,950000,950000,1050000,1115951,1250000,
Armenia,1,Apples,515,Production (tonnes),5510,111836,117199,120844,56487,77602,110289,
Aruba,22,Apples,515,Production (tonnes),5510,,,,,,,
Australia,10,Apples,515,Production (tonnes),5510,270476,265481,295134,264401,299778,289064,
Austria,11,Apples,515,Production (tonnes),5510,477882,551356,485609,488954,546741,471420,
Azerbaijan,52,Apples,515,Production (tonnes),5510,187003,205021,204237,211665,223067,234771,
Bahamas,12,Apples,515,Production (tonnes),5510,,,,,,,
Bahrain,13,Apples,515,Production (tonnes),5510,,,,,,,
Bangladesh,16,Apples,515,Production (tonnes),5510,,,,,,,
Barbados,14,Apples,515,Production (tonnes),5510,,,,,,,
Belarus,57,Apples,515,Production (tonnes),5510,262928,379809,431573,525552,190829,511479,
Belgium,255,Apples,515,Production (tonnes),5510,358000,335000,310600,343980,228405,220400,
Belgium-Luxembourg,15,Apples,515,Production (tonnes),5510,,,,,,,
Belize,23,Apples,515,Production (tonnes),5510,,,,,,,
Benin,53,Apples,515,Production (tonnes),5510,,,,,,,
Bermuda,17,Apples,515,Production (tonnes),5510,,,,,,,
Bhutan,18,Apples,515,Production (tonnes),5510,7076,5038,6523,17337,20752,22000,
Bolivia (Plurinational State of),19,Apples,515,Production (tonnes),5510,1961,2025,1943,1938,1922,2000,
Bosnia and Herzegovina,80,Apples,515,Production (tonnes),5510,60962,51946,71507,71659,75334,50023,
Botswana,20,Apples,515,Production (tonnes),5510,,,,,,,
Brazil,21,Apples,515,Production (tonnes),5510,1115379,1124155,1222885,1279124,1338995,1335478,
British Virgin Islands,239,Apples,515,Production (tonnes),5510,,,,,,,
Brunei Darussalam,26,Apples,515,Production (tonnes),5510,,,,,,,
Bulgaria,27,Apples,515,Production (tonnes),5510,26165,23500,35456,43235,40413,30942,
Burkina Faso,233,Apples,515,Production (tonnes),5510,,,,,,,
Burundi,29,Apples,515,Production (tonnes),5510,,,,,,,
Cabo Verde,35,Apples,515,Production (tonnes),5510,,,,,,,
Cambodia,115,Apples,515,Production (tonnes),5510,,,,,,,
Cameroon,32,Apples,515,Production (tonnes),5510,,,,,,,
