,,,,,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1,EAP,East Asia & Pacific,AG.LND.ARBL.ZS,Arable land (% of land area),10.0532,10.0542,10.0545,10.0654,10.0629,10.0487,10.0263,10.0021,9.97784,9.96549,9.89220,9.91633,9.91484,10.0071,9.93908,9.98370,10.0384,10.0541,10.0719,10.0770,10.1402,10.1839,11.0486,11.1046,11.7917,11.8631,12.0113,12.0669,12.1271,12.1157,11.9893,11.9861,11.9891,11.9082,11.9206,11.9534,11.9545,12.1259,12.6521,12.6913,12.6245,12.5017,12.6324,12.8455,12.9317,13.1618,13.3063
2,ECA,Europe & Central Asia,AG.LND.ARBL.ZS,Arable land (% of land area),2.86298,2.71314,2.75098,2.78540,2.77327,2.72081,2.72291,2.77099,2.90384,2.73639,2.68154,2.81273,2.80663,2.73666,2.73768,2.77362,2.87250,2.72932,2.69642,2.78588,2.78771,2.67769,2.67295,2.74988,2.84533,2.70018,2.66373,2.76806,2.73921,2.67273,5.62527,12.2188,12.1146,12.0590,11.8667,11.6840,11.6284,11.4368,11.2620,11.1896,11.1020,11.0814,10.9797,10.9573,10.9287,10.8965,10.8285
3,EMU,Euro area,AG.LND.ARBL.ZS,Arable land (% of land area),29.9385,29.8890,29.8226,29.4332,29.3311,28.9280,28.7903,28.8939,28.5650,28.2102,27.2988,27.2089,27.0176,27.0323,26.9860,27.2155,26.8729,26.9599,26.9229,26.9058,26.9095,26.9163,26.7313,27.0838,26.7784,26.8057,26.8651,26.6887,26.7415,26.7001,26.4453,26.6656,26.3274,26.2321,25.8292,25.9392,25.7945,25.6560,25.5420,25.8151,25.5954,25.4857,25.3768,25.3928,25.2122,24.9463,24.7604
4,HIC,High income,AG.LND.ARBL.ZS,Arable land (% of land area),10.9692,10.9243,11.0614,10.9648,11.0866,11.0725,11.0721,11.2067,11.4939,11.4537,11.3817,11.2419,11.2998,11.3092,11.3035,11.2529,11.2761,11.4034,11.4817,11.3974,11.4726,11.5137,11.4585,11.4959,11.5459,11.5435,11.5310,11.4245,11.5439,11.5200,11.4584,11.4860,11.3658,11.3425,11.0859,10.8834,10.9528,11.0445,11.0218,11.0867,11.1369,11.0621,11.0303,10.9774,10.9571,10.8277,10.6973
5,HPC,Heavily indebted poor countries (HIPC),AG.LND.ARBL.ZS,Arable land (% of land area),4.46664,4.41660,4.49729,4.60277,4.63123,4.58606,4.60989,4.74376,4.76988,4.71811,4.74835,4.83022,4.84061,4.75457,4.79776,4.90141,4.92135,4.93959,4.97174,5.05575,5.06407,5.04080,5.07736,5.18737,5.26731,5.23113,5.23866,5.34570,5.36452,5.39028,5.52617,5.59650,6.26287,6.28677,6.45125,6.59082,6.66478,6.72566,6.73066,6.72368,6.82494,6.86717,7.15680,7.17175,7.40230,7.42140,7.47177
6,LAC,Latin America & Caribbean,AG.LND.ARBL.ZS,Arable land (% of land area),4.38518,4.51611,4.65439,4.74497,4.81550,4.91626,5.00947,5.19639,5.34822,5.47940,5.59053,5.67893,5.75740,5.86992,5.94909,6.03445,6.10825,6.12369,6.17839,6.19881,6.23366,6.35427,6.35432,6.36623,6.39834,6.50570,6.52342,6.52411,6.52362,6.55503,6.62115,6.64879,6.68155,6.72493,6.99385,6.99539,7.02363,7.04517,7.06323,7.06522,7.11560,7.12205,7.20851,7.30912,7.30818,7.31513,7.37836
7,LDC,Least developed countries: UN classification,AG.LND.ARBL.ZS,Arable land (% of land area),5.11728,5.13330,5.21316,5.25445,5.28677,5.30566,5.32866,5.39187,5.41031,5.42835,5.41061,5.43113,5.41963,5.39738,5.42986,5.46317,5.47061,5.55122,5.57015,5.58964,5.59435,5.62112,5.65413,5.67173,5.75690,5.79884,5.82507,5.89164,5.91780,6.00845,6.06103,6.07221,6.71190,6.72251,6.85927,6.98071,7.02602,7.07099,7.08581,7.10720,7.20231,7.22403,7.49416,7.52414,7.74694,7.80975,7.86786
8,LIC,Low income,AG.LND.ARBL.ZS,Arable land (% of land area),5.86692,5.80949,5.88930,5.99786,6.02685,5.97104,5.99206,6.12474,6.14068,6.08866,6.06685,6.15477,6.14081,6.04959,6.09906,6.20941,6.21995,6.24159,6.25845,6.35224,6.35601,6.32497,6.35804,6.44906,6.57959,6.55556,6.58796,6.74057,6.78812,6.80202,6.93536,7.00520,7.59396,7.60445,7.69607,7.78498,7.88253,7.94445,8.00791,8.04937,8.18505,8.20461,8.40571,8.42869,8.58116,8.66384,8.71167
9,LMC,Lower middle income,AG.LND.ARBL.ZS,Arable land (% of land area),13.1683,13.1493,13.2111,13.2773,13.3273,13.3472,13.3844,13.3706,13.4505,13.4103,13.3780,13.4594,13.5411,13.6162,13.6109,13.6185,13.7255,13.6619,13.6710,13.6284,13.6909,13.7517,14.1993,14.2589,14.6951,14.6821,14.7325,14.8170,14.8312,14.8338,15.8419,15.9996,16.1026,16.0936,16.1554,16.1171,16.0883,16.2538,16.4629,16.4290,16.3393,16.3681,16.5433,16.6381,16.7893,16.8870,16.9906
10,LMY,Low & middle income,AG.LND.ARBL.ZS,Arable land (% of land area),7.03941,7.04811,7.11807,7.17831,7.21312,7.23121,7.26448,7.32732,7.39842,7.39784,7.40840,7.47742,7.51587,7.54079,7.56398,7.60649,7.65598,7.64087,7.66182,7.66387,7.68983,7.71543,7.85923,7.91060,8.08614,8.10120,8.13543,8.19337,8.20511,8.21531,8.94893,10.5538,10.6851,10.6776,10.7256,10.6868,10.6859,10.7046,10.7450,10.7304,10.7143,10.7216,10.7987,10.8510,10.9235,10.9646,11.0033
