countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Afghanistan,2,Bananas,486,Production (tonnes),5510,,,,,,,
Albania,3,Bananas,486,Production (tonnes),5510,,,,,,,
Algeria,4,Bananas,486,Production (tonnes),5510,200,239,273,323,329,335,
American Samoa,5,Bananas,486,Production (tonnes),5510,790,786,997,1113,747,860,
Andorra,6,Bananas,486,Production (tonnes),5510,,,,,,,
Angola,7,Bananas,486,Production (tonnes),5510,1397652,1722507,1985263,2047955,2646073,2991454,
Anguilla,258,Bananas,486,Production (tonnes),5510,,,,,,,
Antigua and Barbuda,8,Bananas,486,Production (tonnes),5510,187,171,191,220,241,250,
Argentina,9,Bananas,486,Production (tonnes),5510,182000,180000,170000,171030,172073,175000,
Armenia,1,Bananas,486,Production (tonnes),5510,,,,,,,
Aruba,22,Bananas,486,Production (tonnes),5510,,,,,,,
Australia,10,Bananas,486,Production (tonnes),5510,213193,207061,270393,302173,202751,285535,
Austria,11,Bananas,486,Production (tonnes),5510,,,,,,,
Azerbaijan,52,Bananas,486,Production (tonnes),5510,,,,,,,
Bahamas,12,Bananas,486,Production (tonnes),5510,5000,6500,6500,7800,9419,9462,
Bahrain,13,Bananas,486,Production (tonnes),5510,952,944,923,930,947,1000,
Bangladesh,16,Bananas,486,Production (tonnes),5510,1004520,877123,836183,818254,800840,745927,
Barbados,14,Bananas,486,Production (tonnes),5510,720,657,725,836,917,950,
Belarus,57,Bananas,486,Production (tonnes),5510,,,,,,,
Belgium,255,Bananas,486,Production (tonnes),5510,,,,,,,
Belgium-Luxembourg,15,Bananas,486,Production (tonnes),5510,,,,,,,
Belize,23,Bananas,486,Production (tonnes),5510,66000,68053,68070,77800,74117,76000,
Benin,53,Bananas,486,Production (tonnes),5510,14000,14500,15502,18126,17791,18500,
Bermuda,17,Bananas,486,Production (tonnes),5510,257,320,340,327,320,325,
Bhutan,18,Bananas,486,Production (tonnes),5510,3974,1648,2183,2208,2439,2500,
Bolivia (Plurinational State of),19,Bananas,486,Production (tonnes),5510,182490,183305,154227,158178,203449,210000,
Bosnia and Herzegovina,80,Bananas,486,Production (tonnes),5510,,,,,,,
Botswana,20,Bananas,486,Production (tonnes),5510,,,,,,,
Brazil,21,Bananas,486,Production (tonnes),5510,7098350,6998150,6783482,6969306,7329471,6902184,
British Virgin Islands,239,Bananas,486,Production (tonnes),5510,360,328,362,418,459,460,
Brunei Darussalam,26,Bananas,486,Production (tonnes),5510,756,800,833,813,837,850,
Bulgaria,27,Bananas,486,Production (tonnes),5510,,,,,,,
Burkina Faso,233,Bananas,486,Production (tonnes),5510,,,,,,,
Burundi,29,Bananas,486,Production (tonnes),5510,1700570,1759961,1845824,1912661,1848727,1184075,
Cabo Verde,35,Bananas,486,Production (tonnes),5510,6800,6800,7000,7000,7200,7400,
Cambodia,115,Bananas,486,Production (tonnes),5510,130000,151000,155000,151209,155619,160000,
Cameroon,32,Bananas,486,Production (tonnes),5510,1024004,1078041,1223233,1333851,1394675,1400000,
Canada,33,Bananas,486,Production (tonnes),5510,,,,,,,
Cayman Islands,36,Bananas,486,Production (tonnes),5510,179,163,183,195,214,225,
Central African Republic,37,Bananas,486,Production (tonnes),5510,120000,124892,125000,126000,124000,128000,
Chad,39,Bananas,486,Production (tonnes),5510,,,,,,,
Channel Islands,259,Bananas,486,Production (tonnes),5510,,,,,,,
Chile,40,Bananas,486,Production (tonnes),5510,,,,,,,
China,351,Bananas,486,Production (tonnes),5510,8038385,8042374,9006454,9848895,10705740,10845265,
"China, Hong Kong SAR",96,Bananas,486,Production (tonnes),5510,,,,,,,
"China, Macao SAR",128,Bananas,486,Production (tonnes),5510,,,,,,,
"China, mainland",41,Bananas,486,Production (tonnes),5510,7796656,7834672,8833904,9561000,10400000,10550000,
"China, Taiwan Province of",214,Bananas,486,Production (tonnes),5510,241729,207702,172550,287895,305740,295265,
Colombia,44,Bananas,486,Production (tonnes),5510,1819874,1987603,1993759,2019625,2042926,1982702,
Comoros,45,Bananas,486,Production (tonnes),5510,62301,58597,71786,73648,64190,66000,
Congo,46,Bananas,486,Production (tonnes),5510,76900,79500,81400,85000,92000,100000,
Cook Islands,47,Bananas,486,Production (tonnes),5510,60,67,76,85,90,95,
Costa Rica,48,Bananas,486,Production (tonnes),5510,2350000,2127000,1795000,2019826,2125201,2136437,
Côte d'Ivoire,107,Bananas,486,Production (tonnes),5510,362700,249247,254977,314270,317000,240000,
Croatia,98,Bananas,486,Production (tonnes),5510,,,,,,,
Cuba,49,Bananas,486,Production (tonnes),5510,385900,280800,245400,249200,250000,195496,
Cyprus,50,Bananas,486,Production (tonnes),5510,7100,5650,6700,6010,5948,6901,
Czech Republic,167,Bananas,486,Production (tonnes),5510,,,,,,,
Czechoslovakia,51,Bananas,486,Production (tonnes),5510,,,,,,,
Democratic People's Republic of Korea,116,Bananas,486,Production (tonnes),5510,,,,,,,
Democratic Republic of the Congo,250,Bananas,486,Production (tonnes),5510,314920,315470,315971,316472,316982,322000,
Denmark,54,Bananas,486,Production (tonnes),5510,,,,,,,
Djibouti,72,Bananas,486,Production (tonnes),5510,,,,,,,
Dominica,55,Bananas,486,Production (tonnes),5510,20000,18237,25000,21000,23039,24500,
Dominican Republic,56,Bananas,486,Production (tonnes),5510,518291,446531,589589,735045,829827,871898,
Ecuador,58,Bananas,486,Production (tonnes),5510,6002302,6701146,7637324,7931060,7427776,7012244,
Egypt,59,Bananas,486,Production (tonnes),5510,945429,1062453,1120517,1028946,1054243,1129777,
El Salvador,60,Bananas,486,Production (tonnes),5510,33000,36000,36052,39000,38442,41500,
Equatorial Guinea,61,Bananas,486,Production (tonnes),5510,28579,29744,27456,27200,28000,29000,
Eritrea,178,Bananas,486,Production (tonnes),5510,,,,,,,
Estonia,63,Bananas,486,Production (tonnes),5510,,,,,,,
Ethiopia,238,Bananas,486,Production (tonnes),5510,261059,194333,208596,270572,291258,302502,
Ethiopia PDR,62,Bananas,486,Production (tonnes),5510,,,,,,,
Falkland Islands (Malvinas),65,Bananas,486,Production (tonnes),5510,,,,,,,
Faroe Islands,64,Bananas,486,Production (tonnes),5510,,,,,,,
Fiji,66,Bananas,486,Production (tonnes),5510,2852,8426,3409,3125,2097,3150,
Finland,67,Bananas,486,Production (tonnes),5510,,,,,,,
France,68,Bananas,486,Production (tonnes),5510,,,,,,,
French Guiana,69,Bananas,486,Production (tonnes),5510,3608,4200,5500,7800,8500,9000,
French Polynesia,70,Bananas,486,Production (tonnes),5510,567,192,120,236,200,215,
Gabon,74,Bananas,486,Production (tonnes),5510,13000,13530,15000,16500,16800,17000,
Gambia,75,Bananas,486,Production (tonnes),5510,,,,,,,
Georgia,73,Bananas,486,Production (tonnes),5510,,,,,,,
Germany,79,Bananas,486,Production (tonnes),5510,,,,,,,
Ghana,81,Bananas,486,Production (tonnes),5510,57500,63000,65000,70000,75000,80000,
Gibraltar,82,Bananas,486,Production (tonnes),5510,,,,,,,
Greece,84,Bananas,486,Production (tonnes),5510,3586,3600,3700,3300,3300,3000,
Greenland,85,Bananas,486,Production (tonnes),5510,,,,,,,
Grenada,86,Bananas,486,Production (tonnes),5510,3401,3060,2547,3000,3291,3350,
Guadeloupe,87,Bananas,486,Production (tonnes),5510,45291,51762,59300,42495,58000,60000,
Guam,88,Bananas,486,Production (tonnes),5510,350,348,441,493,331,350,
Guatemala,89,Bananas,486,Production (tonnes),5510,2246222,2448387,2544240,2637115,2679934,2700000,
Guinea,90,Bananas,486,Production (tonnes),5510,160000,162000,179602,201500,210000,215000,
Guinea-Bissau,175,Bananas,486,Production (tonnes),5510,5200,5800,6200,7249,7115,7500,
Guyana,91,Bananas,486,Production (tonnes),5510,5892,4605,4702,4857,6208,6600,
Haiti,93,Bananas,486,Production (tonnes),5510,295000,245298,284298,255000,265000,270000,
Holy See,94,Bananas,486,Production (tonnes),5510,,,,,,,
Honduras,95,Bananas,486,Production (tonnes),5510,690479,690503,718597,750788,755365,765000,
Hungary,97,Bananas,486,Production (tonnes),5510,,,,,,,
Iceland,99,Bananas,486,Production (tonnes),5510,,,,,,,
India,100,Bananas,486,Production (tonnes),5510,23823000,26217000,26469500,29780000,28455100,24869490,
Indonesia,101,Bananas,486,Production (tonnes),5510,5454226,6004615,6373533,5755073,6132695,6189052,
Iran (Islamic Republic of),102,Bananas,486,Production (tonnes),5510,101000,113366,109867,122958,124755,130000,
Iraq,103,Bananas,486,Production (tonnes),5510,,,,,,,
Ireland,104,Bananas,486,Production (tonnes),5510,,,,,,,
Isle of Man,264,Bananas,486,Production (tonnes),5510,,,,,,,
Israel,105,Bananas,486,Production (tonnes),5510,130814,85186,93510,101286,112698,129522,
Italy,106,Bananas,486,Production (tonnes),5510,400,350,372,342,351,340,
Jamaica,109,Bananas,486,Production (tonnes),5510,84511,36200,52765,53649,46660,47473,
Japan,110,Bananas,486,Production (tonnes),5510,205,204,203,173,177,200,
Jordan,112,Bananas,486,Production (tonnes),5510,34910,41540,43834,43753,48304,38852,
Kazakhstan,108,Bananas,486,Production (tonnes),5510,,,,,,,
Kenya,114,Bananas,486,Production (tonnes),5510,1186740,1686930,1686930,1583143,1197988,1394412,
Kiribati,83,Bananas,486,Production (tonnes),5510,5800,5774,6000,6701,7000,7000,
Kuwait,118,Bananas,486,Production (tonnes),5510,,,,,,,
Kyrgyzstan,113,Bananas,486,Production (tonnes),5510,,,,,,,
Lao People's Democratic Republic,120,Bananas,486,Production (tonnes),5510,205025,152190,173900,178600,230000,365100,
Latvia,119,Bananas,486,Production (tonnes),5510,,,,,,,
Lebanon,121,Bananas,486,Production (tonnes),5510,89700,89700,96000,115000,120000,125000,
Lesotho,122,Bananas,486,Production (tonnes),5510,,,,,,,
Liberia,123,Bananas,486,Production (tonnes),5510,120000,120000,123000,124500,125000,127000,
Libya,124,Bananas,486,Production (tonnes),5510,,,,,,,
Liechtenstein,125,Bananas,486,Production (tonnes),5510,,,,,,,
Lithuania,126,Bananas,486,Production (tonnes),5510,,,,,,,
Luxembourg,256,Bananas,486,Production (tonnes),5510,,,,,,,
Madagascar,129,Bananas,486,Production (tonnes),5510,325000,305675,352252,361391,350000,356000,
Malawi,130,Bananas,486,Production (tonnes),5510,390000,394000,400000,410378,357675,380000,
Malaysia,131,Bananas,486,Production (tonnes),5510,260911,272331,279762,332639,306283,335974,
Maldives,132,Bananas,486,Production (tonnes),5510,8910,8210,4340,6500,7000,7500,
Mali,133,Bananas,486,Production (tonnes),5510,136898,114462,134114,172182,180000,185000,
Malta,134,Bananas,486,Production (tonnes),5510,,,,,,,
Marshall Islands,127,Bananas,486,Production (tonnes),5510,,,,,,,
Martinique,135,Bananas,486,Production (tonnes),5510,143625,163151,189525,199564,240151,260000,
Mauritania,136,Bananas,486,Production (tonnes),5510,,,,,,,
Mauritius,137,Bananas,486,Production (tonnes),5510,9026,10463,10920,11936,10544,10196,
Mayotte,270,Bananas,486,Production (tonnes),5510,,,,,,,
Mexico,138,Bananas,486,Production (tonnes),5510,1964545,2150801,2232361,2103361,2138687,2203861,
Micronesia (Federated States of),145,Bananas,486,Production (tonnes),5510,2100,2090,2651,2961,1987,2000,
Monaco,140,Bananas,486,Production (tonnes),5510,,,,,,,
Mongolia,141,Bananas,486,Production (tonnes),5510,,,,,,,
Montenegro,273,Bananas,486,Production (tonnes),5510,,,,,,,
Montserrat,142,Bananas,486,Production (tonnes),5510,160,146,161,170,187,190,
Morocco,143,Bananas,486,Production (tonnes),5510,201802,214712,220000,289171,277297,222267,
Mozambique,144,Bananas,486,Production (tonnes),5510,208500,245000,280000,320640,340674,470000,
Myanmar,28,Bananas,486,Production (tonnes),5510,,,,,,,
Namibia,147,Bananas,486,Production (tonnes),5510,,,,,,,
Nauru,148,Bananas,486,Production (tonnes),5510,,,,,,,
Nepal,149,Bananas,486,Production (tonnes),5510,53257,76792,88849,91042,121742,168484,
Netherlands,150,Bananas,486,Production (tonnes),5510,,,,,,,
Netherlands Antilles,151,Bananas,486,Production (tonnes),5510,,,,,,,
New Caledonia,153,Bananas,486,Production (tonnes),5510,1685,1256,1145,1089,731,750,
New Zealand,156,Bananas,486,Production (tonnes),5510,,,,,,,
Nicaragua,157,Bananas,486,Production (tonnes),5510,44391,36285,46595,35214,39645,42000,
Niger,158,Bananas,486,Production (tonnes),5510,,,,,,,
Nigeria,159,Bananas,486,Production (tonnes),5510,,,,,,,
Niue,160,Bananas,486,Production (tonnes),5510,80,90,101,113,76,80,
Norfolk Island,161,Bananas,486,Production (tonnes),5510,,,,,,,
Northern Mariana Islands,163,Bananas,486,Production (tonnes),5510,,,,,,,
Norway,162,Bananas,486,Production (tonnes),5510,,,,,,,
Occupied Palestinian Territory,299,Bananas,486,Production (tonnes),5510,6160,5120,5481,3700,3900,4000,
Oman,221,Bananas,486,Production (tonnes),5510,28892,29000,28890,56686,61584,63000,
Pacific Islands Trust Territory,164,Bananas,486,Production (tonnes),5510,,,,,,,
Pakistan,165,Bananas,486,Production (tonnes),5510,157962,157319,154825,141145,96545,135000,
Palau,180,Bananas,486,Production (tonnes),5510,,,,,,,
Panama,166,Bananas,486,Production (tonnes),5510,545162,456522,320535,338280,328377,335000,
Papua New Guinea,168,Bananas,486,Production (tonnes),5510,940000,970000,980000,1050000,1100000,1180000,
Paraguay,169,Bananas,486,Production (tonnes),5510,50000,58321,58840,79856,60022,65000,
Peru,170,Bananas,486,Production (tonnes),5510,,,,,,,
Philippines,171,Bananas,486,Production (tonnes),5510,7484073,8687624,9013186,9101341,9165043,9225998,
Pitcairn Islands,172,Bananas,486,Production (tonnes),5510,,,,,,,
Poland,173,Bananas,486,Production (tonnes),5510,,,,,,,
Portugal,174,Bananas,486,Production (tonnes),5510,30000,30500,30000,31579,30181,32000,
Puerto Rico,177,Bananas,486,Production (tonnes),5510,53500,48783,53895,62165,68202,70000,
Qatar,179,Bananas,486,Production (tonnes),5510,,,,,,,
Republic of Korea,117,Bananas,486,Production (tonnes),5510,,,,,,,
Republic of Moldova,146,Bananas,486,Production (tonnes),5510,,,,,,,
Réunion,182,Bananas,486,Production (tonnes),5510,6000,10000,8689,7200,7200,7500,
Romania,183,Bananas,486,Production (tonnes),5510,,,,,,,
Russian Federation,185,Bananas,486,Production (tonnes),5510,,,,,,,
Rwanda,184,Bananas,486,Production (tonnes),5510,35,34,43,40,44,50,
"Saint Helena, Ascension and Tristan da Cunha",187,Bananas,486,Production (tonnes),5510,,,,,,,
Saint Kitts and Nevis,188,Bananas,486,Production (tonnes),5510,,,,,,,
Saint Lucia,189,Bananas,486,Production (tonnes),5510,32389,43798,39726,21702,23810,25000,
Saint Pierre and Miquelon,190,Bananas,486,Production (tonnes),5510,,,,,,,
Saint Vincent and the Grenadines,191,Bananas,486,Production (tonnes),5510,51000,52000,53000,56000,60000,62000,
Samoa,244,Bananas,486,Production (tonnes),5510,23000,22896,25000,27921,18734,20000,
San Marino,192,Bananas,486,Production (tonnes),5510,,,,,,,
Sao Tome and Principe,193,Bananas,486,Production (tonnes),5510,32000,33305,33500,33400,34100,35000,
Saudi Arabia,194,Bananas,486,Production (tonnes),5510,,,,,,,
Senegal,195,Bananas,486,Production (tonnes),5510,32000,42000,47000,40000,30000,35000,
Serbia,272,Bananas,486,Production (tonnes),5510,,,,,,,
Serbia and Montenegro,186,Bananas,486,Production (tonnes),5510,,,,,,,
Seychelles,196,Bananas,486,Production (tonnes),5510,2000,1900,1800,1780,1831,2000,
Sierra Leone,197,Bananas,486,Production (tonnes),5510,,,,,,,
Singapore,200,Bananas,486,Production (tonnes),5510,,,,,,,
Slovakia,199,Bananas,486,Production (tonnes),5510,,,,,,,
Slovenia,198,Bananas,486,Production (tonnes),5510,,,,,,,
Solomon Islands,25,Bananas,486,Production (tonnes),5510,320,325,330,369,248,255,
Somalia,201,Bananas,486,Production (tonnes),5510,41017,40955,42461,43563,37968,39000,
South Africa,202,Bananas,486,Production (tonnes),5510,345749,393141,370805,393271,384697,386680,
South Sudan,277,Bananas,486,Production (tonnes),5510,,,,,,,
Spain,203,Bananas,486,Production (tonnes),5510,358177,371228,352522,396589,346500,364600,
Sri Lanka,38,Bananas,486,Production (tonnes),5510,,,,,,,
Sudan,276,Bananas,486,Production (tonnes),5510,,,,,,,
