countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Afghanistan,2,Cherries,531,Production (tonnes),5510,,,,,,,
Albania,3,Cherries,531,Production (tonnes),5510,7500,8000,10871,12528,14400,14600,
Algeria,4,Cherries,531,Production (tonnes),5510,1681,4553,5839,5073,7243,7930,
American Samoa,5,Cherries,531,Production (tonnes),5510,,,,,,,
Andorra,6,Cherries,531,Production (tonnes),5510,,,,,,,
Angola,7,Cherries,531,Production (tonnes),5510,,,,,,,
Anguilla,258,Cherries,531,Production (tonnes),5510,,,,,,,
Antigua and Barbuda,8,Cherries,531,Production (tonnes),5510,,,,,,,
Argentina,9,Cherries,531,Production (tonnes),5510,6800,4813,5967,6003,6215,6500,
Armenia,1,Cherries,531,Production (tonnes),5510,3901,6598,7682,1672,7532,10113,
Aruba,22,Cherries,531,Production (tonnes),5510,,,,,,,
Australia,10,Cherries,531,Production (tonnes),5510,9730,9800,13727,13300,10475,11605,
Austria,11,Cherries,531,Production (tonnes),5510,33890,26790,30276,52013,71170,38680,
Azerbaijan,52,Cherries,531,Production (tonnes),5510,6606,6845,6877,6327,6347,7151,
Bahamas,12,Cherries,531,Production (tonnes),5510,,,,,,,
Bahrain,13,Cherries,531,Production (tonnes),5510,,,,,,,
Bangladesh,16,Cherries,531,Production (tonnes),5510,,,,,,,
Barbados,14,Cherries,531,Production (tonnes),5510,,,,,,,
Belarus,57,Cherries,531,Production (tonnes),5510,523,1200,1800,3900,3500,3000,
Belgium,255,Cherries,531,Production (tonnes),5510,7200,2600,5200,7600,7600,3800,
Belgium-Luxembourg,15,Cherries,531,Production (tonnes),5510,,,,,,,
Belize,23,Cherries,531,Production (tonnes),5510,,,,,,,
Benin,53,Cherries,531,Production (tonnes),5510,,,,,,,
Bermuda,17,Cherries,531,Production (tonnes),5510,,,,,,,
Bhutan,18,Cherries,531,Production (tonnes),5510,,,,,,,
Bolivia (Plurinational State of),19,Cherries,531,Production (tonnes),5510,736,744,770,790,825,1000,
Bosnia and Herzegovina,80,Cherries,531,Production (tonnes),5510,10495,10089,10690,9838,11247,7911,
Botswana,20,Cherries,531,Production (tonnes),5510,,,,,,,
Brazil,21,Cherries,531,Production (tonnes),5510,,,,,,,
British Virgin Islands,239,Cherries,531,Production (tonnes),5510,,,,,,,
Brunei Darussalam,26,Cherries,531,Production (tonnes),5510,,,,,,,
Bulgaria,27,Cherries,531,Production (tonnes),5510,18427,16067,17456,24951,30063,19512,
Burkina Faso,233,Cherries,531,Production (tonnes),5510,,,,,,,
Burundi,29,Cherries,531,Production (tonnes),5510,,,,,,,
Cabo Verde,35,Cherries,531,Production (tonnes),5510,,,,,,,
Cambodia,115,Cherries,531,Production (tonnes),5510,,,,,,,
Cameroon,32,Cherries,531,Production (tonnes),5510,,,,,,,
Canada,33,Cherries,531,Production (tonnes),5510,8784,7126,15036,9982,10072,13775,
Cayman Islands,36,Cherries,531,Production (tonnes),5510,,,,,,,
Central African Republic,37,Cherries,531,Production (tonnes),5510,,,,,,,
Chad,39,Cherries,531,Production (tonnes),5510,,,,,,,
Channel Islands,259,Cherries,531,Production (tonnes),5510,,,,,,,
Chile,40,Cherries,531,Production (tonnes),5510,45000,70364,41095,60356,85793,90000,
China,351,Cherries,531,Production (tonnes),5510,22000,25000,27000,28500,32000,35500,
"China, Hong Kong SAR",96,Cherries,531,Production (tonnes),5510,,,,,,,
"China, Macao SAR",128,Cherries,531,Production (tonnes),5510,,,,,,,
"China, mainland",41,Cherries,531,Production (tonnes),5510,22000,25000,27000,28500,32000,35500,
"China, Taiwan Province of",214,Cherries,531,Production (tonnes),5510,,,,,,,
Colombia,44,Cherries,531,Production (tonnes),5510,,,,,,,
Comoros,45,Cherries,531,Production (tonnes),5510,,,,,,,
Congo,46,Cherries,531,Production (tonnes),5510,,,,,,,
Cook Islands,47,Cherries,531,Production (tonnes),5510,,,,,,,
Costa Rica,48,Cherries,531,Production (tonnes),5510,,,,,,,
Côte d'Ivoire,107,Cherries,531,Production (tonnes),5510,,,,,,,
