,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
1,EAP,East Asia & Pacific,EN.ATM.CO2E.KT,CO2 emissions (kt),"881,713","651,027","539,110","538,570","545,622","598,807","654,566","573,381","630,063","754,063","974,616","1,121,686","1,164,689","1,224,232","1,245,272","1,417,008","1,481,945","1,651,617","1,832,862","1,876,121","1,849,824","1,840,675","1,952,693","2,061,391","2,219,132","2,400,123","2,523,639","2,697,356","2,908,230","2,971,789","3,046,758","3,240,330","3,399,671","3,634,660","3,837,403","4,146,904","4,348,423","4,338,233","3,888,577","4,063,839","4,213,140","4,353,834","4,609,056","5,304,791","6,147,486","6,703,587","7,188,223"
2,ECA,Europe & Central Asia,EN.ATM.CO2E.KT,CO2 emissions (kt),"1,752,598","1,812,799","1,913,954","2,052,937","2,187,500","2,312,075","2,436,467","2,551,302","2,643,448","2,771,958","2,909,785","3,079,118","3,242,272","3,383,426","3,508,722","3,702,888","3,863,913","4,005,099","4,153,346","4,193,465","4,340,536","4,232,420","4,322,846","4,388,055","4,422,014","4,737,348","4,781,229","4,976,070","5,046,361","4,957,417","4,565,979","4,379,185","4,059,246","3,743,590","3,279,395","3,195,697","3,147,977","2,987,572","2,891,823","2,845,282","2,878,750","2,889,786","2,895,959","3,008,061","3,043,141","3,081,134","3,195,324"
3,EMU,Euro area,EN.ATM.CO2E.KT,CO2 emissions (kt),"1,116,024","1,178,860","1,281,786","1,404,878","1,471,757","1,529,479","1,586,991","1,682,599","1,793,804","1,906,358","2,090,563","2,179,779","2,322,584","2,489,431","2,476,623","2,348,179","2,569,238","2,501,916","2,625,042","2,746,572","2,691,201","2,532,617","2,432,142","2,369,285","2,366,280","2,401,013","2,331,070","2,383,589","2,384,891","2,560,866","2,602,026","2,704,752","2,633,295","2,566,955","2,560,949","2,626,051","2,682,605","2,639,139","2,693,912","2,576,642","2,601,319","2,664,937","2,658,639","2,714,845","2,732,809","2,717,387","2,701,361"
4,HIC,High income,EN.ATM.CO2E.KT,CO2 emissions (kt),"5,549,912","5,696,906","5,962,678","6,292,440","6,604,130","6,895,368","7,199,883","7,520,552","7,926,634","8,423,046","9,195,032","9,386,025","9,836,967","10,425,950","10,150,460","9,802,120","10,316,700","10,446,410","10,759,170","11,011,480","10,737,900","10,323,070","9,928,872","9,917,045","10,176,840","10,295,430","10,308,600","10,588,290","11,007,860","11,300,110","11,332,670","11,518,860","11,528,020","11,828,090","11,992,000","12,045,760","12,349,290","12,475,320","12,494,480","12,407,280","12,894,000","12,830,920","12,942,610","13,139,760","13,366,450","13,459,790","13,377,890"
5,HPC,Heavily indebted poor countries (HIPC),EN.ATM.CO2E.KT,CO2 emissions (kt),"24,445","25,827","26,079","27,678","29,755","34,150","35,541","38,148","42,337","46,872","50,755","54,420","56,014","59,832","61,266","61,658","60,696","62,847","65,342","66,224","71,226","69,892","71,411","71,975","70,303","74,952","67,636","74,472","79,993","83,646","75,400","74,045","74,850","75,937","74,924","78,050","82,231","85,361","82,257","81,505","82,810","84,052","87,987","96,121","102,061","105,912","108,007"
6,LAC,Latin America & Caribbean,EN.ATM.CO2E.KT,CO2 emissions (kt),"283,461","287,693","302,577","308,829","331,642","341,939","361,311","386,866","413,384","447,589","489,490","511,955","536,604","585,485","623,465","628,815","656,546","681,788","763,545","820,839","873,351","878,777","909,632","878,422","875,531","869,650","904,832","949,361","975,525","993,864","1,044,760","1,042,218","1,082,294","1,090,410","1,140,933","1,165,060","1,207,149","1,264,842","1,297,866","1,302,241","1,285,188","1,320,736","1,302,853","1,330,772","1,338,661","1,401,403","1,462,306"
7,LDC,Least developed countries: UN classification,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,"44,430","47,355","47,579","46,306","44,228","45,589","48,132","51,554","54,029","52,937","51,763","53,207","54,586","55,891","56,859","59,675","62,306","61,724","62,427","76,332","81,921","79,393","81,323","95,267","102,570","104,229","98,324","106,529","111,906","118,784","130,020","134,119","144,164","152,807","156,688"
8,LIC,Low income,EN.ATM.CO2E.KT,CO2 emissions (kt),"125,088","131,304","140,838","150,145","160,158","178,813","189,465","200,580","214,978","229,784","251,358","290,807","275,967","294,417","298,455","313,143","314,079","324,175","335,258","342,083","356,230","354,327","357,158","372,586","382,590","410,418","430,318","466,646","499,089","504,137","508,533","522,196","522,465","522,954","509,535","506,424","522,883","511,355","357,333","369,793","383,507","398,335","413,281","423,298","452,303","463,295","478,196"
9,LMC,Lower middle income,EN.ATM.CO2E.KT,CO2 emissions (kt),"1,350,852","1,149,990","1,072,444","1,118,263","1,157,058","1,263,299","1,365,912","1,292,693","1,390,119","1,537,052","1,792,370","1,980,178","2,099,146","2,217,338","2,303,833","2,510,830","2,660,991","2,908,753","3,118,972","3,229,319","3,197,079","3,191,685","3,374,175","3,534,419","3,735,653","4,022,714","4,164,637","4,403,406","4,711,125","4,798,328","4,849,742","5,051,340","5,249,430","5,398,288","5,609,305","5,947,227","6,204,889","6,184,007","5,985,378","6,254,799","6,491,988","6,663,803","7,015,416","7,770,093","8,720,399","9,399,853","9,976,802"
10,LMY,Low & middle income,EN.ATM.CO2E.KT,CO2 emissions (kt),"3,241,234","3,100,239","3,129,969","3,304,105","3,490,978","3,730,899","3,963,423","4,037,854","4,268,616","4,582,113","5,014,569","5,409,300","5,672,117","5,982,768","6,202,129","6,591,080","6,925,144","7,330,756","7,772,816","7,987,632","8,166,061","8,083,690","8,389,440","8,617,552","8,887,789","9,454,793","9,712,566","10,187,980","10,613,590","10,660,170","10,445,030","10,538,270","10,515,340","10,502,470","10,435,080","10,756,840","11,067,180","11,023,390","10,606,090","10,844,370","11,140,540","11,368,970","11,704,800","12,644,860","13,714,120","14,528,550","15,299,310"
