countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Afghanistan,2,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Albania,3,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Algeria,4,"Coffee, green",656,Production (tonnes),5510,,,,,,,
American Samoa,5,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Andorra,6,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Angola,7,"Coffee, green",656,Production (tonnes),5510,11523,4000,11982,46307,48533,50000,
Anguilla,258,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Antigua and Barbuda,8,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Argentina,9,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Armenia,1,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Aruba,22,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Australia,10,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Austria,11,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Azerbaijan,52,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Bahamas,12,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Bahrain,13,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Bangladesh,16,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Barbados,14,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Belarus,57,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Belgium,255,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Belgium-Luxembourg,15,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Belize,23,"Coffee, green",656,Production (tonnes),5510,45,90,70,47,45,50,
Benin,53,"Coffee, green",656,Production (tonnes),5510,60,62,57,60,65,68,
Bermuda,17,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Bhutan,18,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Bolivia (Plurinational State of),19,"Coffee, green",656,Production (tonnes),5510,27012,27305,28270,28815,28492,35000,
Bosnia and Herzegovina,80,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Botswana,20,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Brazil,21,"Coffee, green",656,Production (tonnes),5510,2249011,2796927,2440056,2907265,2700440,3037534,
British Virgin Islands,239,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Brunei Darussalam,26,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Bulgaria,27,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Burkina Faso,233,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Burundi,29,"Coffee, green",656,Production (tonnes),5510,29946,7305,25130,6821,23856,26340,
Cabo Verde,35,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Cambodia,115,"Coffee, green",656,Production (tonnes),5510,320,330,350,358,357,365,
Cameroon,32,"Coffee, green",656,Production (tonnes),5510,47792,50687,48123,66584,65000,65000,
Canada,33,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Cayman Islands,36,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Central African Republic,37,"Coffee, green",656,Production (tonnes),5510,2400,3300,3544,5270,6000,6500,
Chad,39,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Channel Islands,259,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Chile,40,"Coffee, green",656,Production (tonnes),5510,,,,,,,
China,351,"Coffee, green",656,Production (tonnes),5510,26000,33278,70405,49596,65384,70000,
"China, Hong Kong SAR",96,"Coffee, green",656,Production (tonnes),5510,,,,,,,
"China, Macao SAR",128,"Coffee, green",656,Production (tonnes),5510,,,,,,,
"China, mainland",41,"Coffee, green",656,Production (tonnes),5510,26000,33278,70405,49596,65384,70000,
"China, Taiwan Province of",214,"Coffee, green",656,Production (tonnes),5510,0,0,0,0,0,0,
Colombia,44,"Coffee, green",656,Production (tonnes),5510,757080,688680,468720,535380,468540,464640,
Comoros,45,"Coffee, green",656,Production (tonnes),5510,121,111,116,97,129,130,
Congo,46,"Coffee, green",656,Production (tonnes),5510,3000,2400,2700,2600,2725,3000,
Cook Islands,47,"Coffee, green",656,Production (tonnes),5510,0,0,0,0,0,0,
Costa Rica,48,"Coffee, green",656,Production (tonnes),5510,121058,111959,91403,97171,100083,125086,
Côte d'Ivoire,107,"Coffee, green",656,Production (tonnes),5510,170849,173118,142945,94372,32291,50000,
Croatia,98,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Cuba,49,"Coffee, green",656,Production (tonnes),5510,13500,6240,7980,8430,10150,11000,
Cyprus,50,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Czech Republic,167,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Czechoslovakia,51,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Democratic People's Republic of Korea,116,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Democratic Republic of the Congo,250,"Coffee, green",656,Production (tonnes),5510,31930,31900,31870,31840,31810,32500,
Denmark,54,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Djibouti,72,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Dominica,55,"Coffee, green",656,Production (tonnes),5510,405,276,292,180,225,235,
Dominican Republic,56,"Coffee, green",656,Production (tonnes),5510,50297,47642,37950,21876,27296,27009,
Ecuador,58,"Coffee, green",656,Production (tonnes),5510,38687,37096,33624,31347,23829,7340,
Egypt,59,"Coffee, green",656,Production (tonnes),5510,,,,,,,
El Salvador,60,"Coffee, green",656,Production (tonnes),5510,96355,97727,76591,112636,82095,89489,
Equatorial Guinea,61,"Coffee, green",656,Production (tonnes),5510,5625,4500,4000,4200,4400,4600,
Eritrea,178,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Estonia,63,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Ethiopia,238,"Coffee, green",656,Production (tonnes),5510,273400,260239,265469,370569,376823,275530,
Ethiopia PDR,62,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Falkland Islands (Malvinas),65,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Faroe Islands,64,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Fiji,66,"Coffee, green",656,Production (tonnes),5510,14,13,15,18,18,18,
Finland,67,"Coffee, green",656,Production (tonnes),5510,,,,,,,
France,68,"Coffee, green",656,Production (tonnes),5510,,,,,,,
French Guiana,69,"Coffee, green",656,Production (tonnes),5510,,,,,,,
French Polynesia,70,"Coffee, green",656,Production (tonnes),5510,12,16,17,12,20,20,
Gabon,74,"Coffee, green",656,Production (tonnes),5510,125,107,128,159,167,170,
Gambia,75,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Georgia,73,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Germany,79,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Ghana,81,"Coffee, green",656,Production (tonnes),5510,1860,1620,1860,1200,1250,600,
Gibraltar,82,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Greece,84,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Greenland,85,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Grenada,86,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Guadeloupe,87,"Coffee, green",656,Production (tonnes),5510,30,20,23,14,17,18,
Guam,88,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Guatemala,89,"Coffee, green",656,Production (tonnes),5510,243599,248471,249275,247501,242839,248000,
Guinea,90,"Coffee, green",656,Production (tonnes),5510,26556,27353,28173,29018,29500,30000,
Guinea-Bissau,175,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Guyana,91,"Coffee, green",656,Production (tonnes),5510,160,177,170,174,168,170,
Haiti,93,"Coffee, green",656,Production (tonnes),5510,47000,35000,32479,19973,24922,26000,
Holy See,94,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Honduras,95,"Coffee, green",656,Production (tonnes),5510,236302,240948,231288,229368,282361,300000,
Hungary,97,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Iceland,99,"Coffee, green",656,Production (tonnes),5510,,,,,,,
India,100,"Coffee, green",656,Production (tonnes),5510,288000,262000,262300,289600,302000,314000,
Indonesia,101,"Coffee, green",656,Production (tonnes),5510,676475,698016,682591,684076,638600,657200,
Iran (Islamic Republic of),102,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Iraq,103,"Coffee, green",656,Production (tonnes),5510,,,,,,,
