"Data Source","World Development Indicators",

"Last Updated Date","2016-07-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.100000001490116","","","0.300000011920929","","","0.200000002980232","","","","","","","0.400000005960464","","","0.300000011920929","0.400000005960464","","","","",
"Andorra","AND","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9000015258789","","","","","","",
"Arab World","ARB","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0263233621723","","","","",
"United Arab Emirates","ARE","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.100000001490116","","","","","0.100000001490116","","","","","0.100000001490116","","","0.200000002980232","0.100000001490116","","","","","","",
"Argentina","ARG","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.200000002980232","0.100000001490116","0.300000011920929","0.300000011920929","0.200000002980232","0.400000005960464","0.200000002980232","0.200000002980232","0.200000002980232","0.200000002980232","0.200000002980232","0.300000011920929","0.5","1","0.899999976158142","0.600000023841858","0.5","0.400000005960464","0.400000005960464","0.400000005960464","0.5","0.699999988079071","0.300000011920929","0.200000002980232","0.200000002980232","",
"Armenia","ARM","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5999984741211","43.4000015258789","44.5999984741211","46.4000015258789","46.0999984741211","48.7000007629395","46","45.7000007629395","47.2000007629395","45.5","44","44.5","","",
"American Samoa","ASM","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10000002384186","1.20000004768372","1.20000004768372","1.20000004768372","1.20000004768372","1.20000004768372","1.20000004768372","1.20000004768372","","","","","","","",
"Australia","AUS","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","4.09999990463257","4.5","4.30000019073486","4.30000019073486","4","4.30000019073486","4.40000009536743","4.09999990463257","4.09999990463257","3.90000009536743","4","3.90000009536743","3.59999990463257","3.59999990463257","3.5","3.5","3.40000009536743","3.5","3.5","3.5","3.40000009536743","3.5","3","2.59999990463257","2.70000004768372","2.5","2.40000009536743","2.29999995231628","2.20000004768372","2.20000004768372","2.29999995231628","1.89999997615814","2","1.70000004768372","","",
"Austria","AUT","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","12.5","10.8000001907349","10.5","10.1999998092651","10.1000003814697","9.30000019073486","9.19999980926514","9.39999961853027","8.5","8","7.80000019073486","8","8.19999980926514","8.60000038146973","7.69999980926514","7.19999980926514","6.59999990463257","6","5.90000009536743","5.90000009536743","5.59999990463257","4.69999980926514","5","5","5.19999980926514","4.69999980926514","4.69999980926514","4.59999990463257","4.30000019073486","3.79999995231628","3.79999995231628","4.09999990463257","",
"Azerbaijan","AZE","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5999984741211","46.0999984741211","42.7999992370605","39.4000015258789","39","38","37.4000015258789","36.7000007629395","38","40","44.0999984741211","44.5","43.9000015258789","43.9000015258789","43.5","","",
"Burundi","BDI","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.5999984741211","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","2","1.89999997615814","1.89999997615814","1.89999997615814","1.89999997615814","1.89999997615814","1.89999997615814","1.79999995231628","1.79999995231628","1.79999995231628","1.89999997615814","1.89999997615814","2.5","2","2.20000004768372","2.09999990463257","2.20000004768372","2.09999990463257","1.60000002384186","1.89999997615814","1.10000002384186","0.899999976158142","1.10000002384186","1.10000002384186","1.5","1.39999997615814","1.20000004768372","1.29999995231628","1","1","0.899999976158142","0.800000011920929","0.699999988079071","0.800000011920929","0.800000011920929","",
"Benin","BEN","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7000007629395","","","","","","","37.7999992370605","","","","","",
"Burkina Faso","BFA","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4000015258789","","87.1999969482422","81.5","67.3000030517578","","","","","","","","",
"Bangladesh","BGD","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","8.89999961853027","9.30000019073486","11.3999996185303","","","71.5","","84.9000015258789","","","","","77.5","","","","76.9000015258789","","58.5999984741211","58.5999984741211","","68.0999984741211","","","","","64.8000030517578","","","","","",
"Bulgaria","BGR","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.89999961853027","6.5","7.5","7.40000009536743","7.59999990463257","6.40000009536743","5.80000019073486","5.40000009536743","5.5","5.19999980926514","5.09999990463257","4.69999980926514","4.19999980926514","4.30000019073486","4.5","",
"Bahrain","BHR","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","0","","","","","","","","","","0.200000002980232","","","0.100000001490116","","","","","","0","","","","","",
"Bahamas, The","BHS","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70000004768372","","","2.20000004768372","","1.5","1.5","1.39999997615814","1.60000002384186","1.10000002384186","1.20000004768372","2.20000004768372","1.29999995231628","0.899999976158142","","1.39999997615814","1.70000004768372","0.600000023841858","0.400000005960464","0.300000011920929","0.5","0.200000002980232","0.699999988079071","0.5","","1.79999995231628","","","","",
"Bosnia and Herzegovina","BIH","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.80000019073486","","","","","","",
"Belize","BLZ","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69999980926514","4.5","6.09999990463257","5","6.09999990463257","5.40000009536743","6.40000009536743","","","","","","3.29999995231628","","","","","","","","","","",
"Bermuda","BMU","Employment in agriculture, female (% of female employment)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.200000002980232","0.300000011920929","0.300000011920929","0.300000011920929","0.300000011920929","","","","","0.300000011920929","0.400000005960464","0.300000011920929","0.300000011920929","","","",
