Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001,,,0.300000012,,,0.200000003,,,,,,,0.400000006,,,0.300000012,0.400000006,,,,
Andorra,AND,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.90000153,,,,,,
Arab World,ARB,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.02632336,,,,
United Arab Emirates,ARE,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001,,,,,0.100000001,,,,,0.100000001,,,0.200000003,0.100000001,,,,,,
Argentina,ARG,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200000003,0.100000001,0.300000012,0.300000012,0.200000003,0.400000006,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.300000012,0.5,1,0.899999976,0.600000024,0.5,0.400000006,0.400000006,0.400000006,0.5,0.699999988,0.300000012,0.200000003,0.200000003,
Armenia,ARM,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59999847,43.40000153,44.59999847,46.40000153,46.09999847,48.70000076,46,45.70000076,47.20000076,45.5,44,44.5,,
American Samoa,ASM,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
