,,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1,EAP,East Asia & Pacific,AG.LND.FRST.ZS,Forest area (% of land area),28.8624,28.7871,28.7117,28.6364,28.5611,28.4906,28.4153,28.3401,28.2647,28.1894,28.1397,28.1970,28.2552,28.3134,28.3709,28.4284,28.4855,28.5427
2,ECA,Europe & Central Asia,AG.LND.FRST.ZS,Forest area (% of land area),38.2190,38.2277,38.2367,38.2513,38.2678,38.2812,38.2904,38.2977,38.3019,38.2990,38.3194,38.3239,38.3261,38.3294,38.3356,38.3355,38.3481,38.3518
3,EMU,Euro area,AG.LND.FRST.ZS,Forest area (% of land area),33.5892,33.8482,34.1077,34.3681,34.6283,34.8885,35.1487,35.4089,35.6691,35.9293,36.1959,36.4191,36.6278,36.8409,37.0577,37.2754,37.5004,37.7170
4,HIC,High income,AG.LND.FRST.ZS,Forest area (% of land area),28.6131,28.6365,28.6601,28.6838,28.7076,28.7323,28.7561,28.7209,28.7445,28.7682,28.7899,28.8091,28.8258,28.8443,28.8614,28.8787,28.8961,28.9134
5,HPC,Heavily indebted poor countries (HIPC),AG.LND.FRST.ZS,Forest area (% of land area),31.3515,31.1522,30.9529,30.7537,30.5546,30.3554,30.1562,29.9570,29.7578,29.5587,29.3595,29.1816,29.0037,28.8258,28.6480,28.4701,28.2889,28.1111
6,LAC,Latin America & Caribbean,AG.LND.FRST.ZS,Forest area (% of land area),48.8080,48.5851,48.3622,48.1393,47.9164,47.6935,47.4706,47.2477,47.0248,46.8019,46.5790,46.3437,46.1083,45.8729,45.6375,45.4021,45.1632,44.9279
7,LDC,Least developed countries: UN classification,AG.LND.FRST.ZS,Forest area (% of land area),30.4104,30.2121,30.0139,29.8157,29.6276,29.4293,29.2310,29.0327,28.8344,28.6361,28.4373,28.2531,28.0690,27.8848,27.7031,27.5190,27.3349,27.1507
8,LIC,Low income,AG.LND.FRST.ZS,Forest area (% of land area),27.8503,27.6585,27.4667,27.2759,27.0851,26.8943,26.7035,26.5126,26.3218,26.1310,25.9597,25.7860,25.6132,25.4402,25.2668,25.0933,24.9198,24.7461
9,LMC,Lower middle income,AG.LND.FRST.ZS,Forest area (% of land area),25.7123,25.6313,25.5503,25.4697,25.3949,25.3157,25.2306,25.1501,25.0697,24.9896,24.9092,24.8913,24.8734,24.8556,24.8391,24.8211,24.8010,24.7831
10,LMY,Low & middle income,AG.LND.FRST.ZS,Forest area (% of land area),32.3784,32.2780,32.1776,32.0783,31.9817,31.8829,31.7806,31.6799,31.5785,31.4757,31.3821,31.3002,31.2180,31.1360,31.0550,30.9722,30.8911,30.8090
11,MIC,Middle income,AG.LND.FRST.ZS,Forest area (% of land area),33.4762,33.3978,33.3196,33.2426,33.1690,33.0926,33.0117,32.9327,32.8530,32.7714,32.6958,32.6361,32.5758,32.5159,32.4573,32.3965,32.3379,32.2779
12,MNA,Middle East & North Africa,AG.LND.FRST.ZS,Forest area (% of land area),2.31455,2.32390,2.33327,2.34262,2.35198,2.36133,2.37008,2.37942,2.38878,2.39813,2.40748,2.41471,2.42193,2.42921,2.43645,2.44367,2.45088,2.45810
13,NOC,High income: nonOECD,AG.LND.FRST.ZS,Forest area (% of land area),4.35570,4.35426,4.35386,4.35556,4.35724,4.37005,4.37162,4.27497,4.27654,4.27821,4.27985,4.27949,4.27912,4.28147,4.28113,4.28106,4.28025,4.28030
14,OEC,High income: OECD,AG.LND.FRST.ZS,Forest area (% of land area),30.9942,31.0201,31.0459,31.0719,31.0978,31.1237,31.1497,31.1757,31.2016,31.2275,31.2510,31.2724,31.2906,31.3093,31.3282,31.3471,31.3665,31.3854
15,SAS,South Asia,AG.LND.FRST.ZS,Forest area (% of land area),16.4931,16.5314,16.5697,16.6080,16.6705,16.7089,16.7473,16.7857,16.8241,16.8625,16.8996,16.8750,16.8505,16.8259,16.8073,16.7827,16.7581,16.7336
16,SSA,Sub-Saharan Africa,AG.LND.FRST.ZS,Forest area (% of land area),29.2304,29.0425,28.8546,28.6667,28.4787,28.2908,28.1029,27.9150,27.7271,27.5392,27.3513,27.1783,27.0054,26.8324,26.6594,26.4865,26.3137,26.1408
17,UMC,Upper middle income,AG.LND.FRST.ZS,Forest area (% of land area),38.7199,38.6434,38.5671,38.4928,38.4194,38.3453,38.2682,38.1902,38.1106,38.0272,37.9556,37.8678,37.7787,37.6903,37.6033,37.5132,37.4292,37.3409
18,WLD,World,AG.LND.FRST.ZS,Forest area (% of land area),31.4062,31.3378,31.2694,31.2018,31.1362,31.0693,30.9996,30.9146,30.8456,30.7755,30.7116,30.6559,30.5992,30.5433,30.4877,30.4308,30.3751,30.3187
19,AFG,Afghanistan,AG.LND.FRST.ZS,Forest area (% of land area),2.00696,1.96189,1.91681,1.87173,1.82666,1.78158,1.73650,1.69143,1.64635,1.60128,1.55620,1.51020,1.46543,1.42005,1.37467,1.32929,1.28390,1.23852
20,ALB,Albania,AG.LND.FRST.ZS,Forest area (% of land area),28.7956,28.7226,28.6496,28.5766,28.5037,28.4307,28.3577,28.2847,28.2117,28.1387,28.0657,28.2482,28.4307,28.6131,28.7956,28.9781,29.1606,29.3431
21,DZA,Algeria,AG.LND.FRST.ZS,Forest area (% of land area),0.751467,0.766331,0.781236,0.796099,0.810962,0.825825,0.840688,0.855551,0.870456,0.885319,0.900182,0.911351,0.922477,0.933645,0.944813,0.955940,0.967108,0.978234
22,ASM,American Samoa,AG.LND.FRST.ZS,Forest area (% of land area),92,92,91.5000,91.5000,91.5000,91,91,91,90.5000,90.5000,90.5000,90,90,90,89.5000,89.5000,89,89
23,ADO,Andorra,AG.LND.FRST.ZS,Forest area (% of land area),34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426,34.0426
24,AGO,Angola,AG.LND.FRST.ZS,Forest area (% of land area),48.9099,48.8098,48.7097,48.6096,48.5095,48.4094,48.3093,48.2092,48.1091,48.0090,47.9089,47.8088,47.7087,47.6086,47.5085,47.4084,47.3083,47.2082
25,ATG,Antigua and Barbuda,AG.LND.FRST.ZS,Forest area (% of land area),21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636,21.3636
26,ARG,Argentina,AG.LND.FRST.ZS,Forest area (% of land area),12.8849,12.8304,12.7759,12.7214,12.6668,12.6123,12.5578,12.5033,12.4488,12.3942,12.3397,12.2850,12.2303,12.1755,12.1208,12.0660,12.0113,11.9566
27,ARM,Armenia,AG.LND.FRST.ZS,Forest area (% of land area),,,11.9787,11.8333,11.6879,11.5426,11.3972,11.2518,11.1064,10.9610,10.8156,10.6596,10.5036,10.3475,10.1915,10.0355,9.87943,9.72340
28,ABW,Aruba,AG.LND.FRST.ZS,Forest area (% of land area),2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222
29,AUS,Australia,AG.LND.FRST.ZS,Forest area (% of land area),21.8560,21.8135,21.7711,21.7287,21.6863,21.6438,21.6014,21.5590,21.5166,21.4742,21.4317,21.4066,21.3814,21.3562,21.3310,21.3059,21.2807,21.2555
30,AUT,Austria,AG.LND.FRST.ZS,Forest area (% of land area),45.7975,45.8727,45.9479,46.0230,46.0982,46.1734,46.2486,46.3238,46.3990,46.4742,46.5494,46.6076,46.6659,46.7241,46.7823,46.8405,46.8987,46.9569
31,AZE,Azerbaijan,AG.LND.FRST.ZS,Forest area (% of land area),,,11.2477,11.2477,11.2477,11.2477,11.2477,11.2477,11.2646,11.3173,11.3310,11.3312,11.3293,11.3246,11.3219,11.3235,11.3267,11.3277
