countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Afghanistan,2,Grapes,560,Production (tonnes),5510,360000,364000,378000,397000,492464,590065,
Albania,3,Grapes,560,Production (tonnes),5510,146500,153900,162800,184900,195200,197000,
Algeria,4,Grapes,560,Production (tonnes),5510,244999,401992,492525,560562,402592,543169,
American Samoa,5,Grapes,560,Production (tonnes),5510,,,,,,,
Andorra,6,Grapes,560,Production (tonnes),5510,,,,,,,
Angola,7,Grapes,560,Production (tonnes),5510,,,,,,,
Anguilla,258,Grapes,560,Production (tonnes),5510,,,,,,,
Antigua and Barbuda,8,Grapes,560,Production (tonnes),5510,,,,,,,
Argentina,9,Grapes,560,Production (tonnes),5510,3092509,2821696,2181567,2616613,2890000,2800000,
Armenia,1,Grapes,560,Production (tonnes),5510,218883,185832,208649,222905,229589,241429,
Aruba,22,Grapes,560,Production (tonnes),5510,,,,,,,
Australia,10,Grapes,560,Production (tonnes),5510,1530439,1956790,1797012,1684345,1715717,1656621,
Austria,11,Grapes,560,Production (tonnes),5510,350403,399163,313583,231660,375301,287301,
Azerbaijan,52,Grapes,560,Production (tonnes),5510,103363,115822,129159,129536,137038,150987,
Bahamas,12,Grapes,560,Production (tonnes),5510,,,,,,,
Bahrain,13,Grapes,560,Production (tonnes),5510,140,149,138,136,140,145,
Bangladesh,16,Grapes,560,Production (tonnes),5510,,,,,,,
Barbados,14,Grapes,560,Production (tonnes),5510,,,,,,,
Belarus,57,Grapes,560,Production (tonnes),5510,8000,14000,8000,11000,14500,7000,
Belgium,255,Grapes,560,Production (tonnes),5510,100,90,100,115,95,100,
Belgium-Luxembourg,15,Grapes,560,Production (tonnes),5510,,,,,,,
Belize,23,Grapes,560,Production (tonnes),5510,,,,,,,
Benin,53,Grapes,560,Production (tonnes),5510,,,,,,,
Bermuda,17,Grapes,560,Production (tonnes),5510,,,,,,,
Bhutan,18,Grapes,560,Production (tonnes),5510,,,,,,,
Bolivia (Plurinational State of),19,Grapes,560,Production (tonnes),5510,32924,32737,24296,25048,26894,28000,
Bosnia and Herzegovina,80,Grapes,560,Production (tonnes),5510,21235,23912,25617,23163,21601,25931,
Botswana,20,Grapes,560,Production (tonnes),5510,,,,,,,
Brazil,21,Grapes,560,Production (tonnes),5510,1371555,1421431,1365491,1355461,1542068,1514768,
British Virgin Islands,239,Grapes,560,Production (tonnes),5510,,,,,,,
Brunei Darussalam,26,Grapes,560,Production (tonnes),5510,,,,,,,
Bulgaria,27,Grapes,560,Production (tonnes),5510,376663,363539,281302,230198,243839,260673,
Burkina Faso,233,Grapes,560,Production (tonnes),5510,,,,,,,
Burundi,29,Grapes,560,Production (tonnes),5510,,,,,,,
Cabo Verde,35,Grapes,560,Production (tonnes),5510,,,,,,,
Cambodia,115,Grapes,560,Production (tonnes),5510,,,,,,,
Cameroon,32,Grapes,560,Production (tonnes),5510,,,,,,,
Canada,33,Grapes,560,Production (tonnes),5510,71822,80962,67510,75598,90587,94541,
Cayman Islands,36,Grapes,560,Production (tonnes),5510,,,,,,,
Central African Republic,37,Grapes,560,Production (tonnes),5510,,,,,,,
Chad,39,Grapes,560,Production (tonnes),5510,,,,,,,
Channel Islands,259,Grapes,560,Production (tonnes),5510,,,,,,,
Chile,40,Grapes,560,Production (tonnes),5510,2350000,2400000,2600000,2903894,3149380,3200000,
China,351,Grapes,560,Production (tonnes),5510,6786895,7236140,8038703,8651831,9174280,9699267,
"China, Hong Kong SAR",96,Grapes,560,Production (tonnes),5510,,,,,,,
"China, Macao SAR",128,Grapes,560,Production (tonnes),5510,,,,,,,
"China, mainland",41,Grapes,560,Production (tonnes),5510,6696814,7151484,7940612,8549000,9067000,9600000,
"China, Taiwan Province of",214,Grapes,560,Production (tonnes),5510,90081,84656,98091,102831,107280,99267,
Colombia,44,Grapes,560,Production (tonnes),5510,37224,37376,38125,37380,24153,24701,
Comoros,45,Grapes,560,Production (tonnes),5510,,,,,,,
Congo,46,Grapes,560,Production (tonnes),5510,,,,,,,
Cook Islands,47,Grapes,560,Production (tonnes),5510,,,,,,,
Costa Rica,48,Grapes,560,Production (tonnes),5510,,,,,,,
Côte d'Ivoire,107,Grapes,560,Production (tonnes),5510,,,,,,,
Croatia,98,Grapes,560,Production (tonnes),5510,197979,185256,206437,207743,204373,183500,
Cuba,49,Grapes,560,Production (tonnes),5510,20000,20000,19000,20000,21000,22000,
Cyprus,50,Grapes,560,Production (tonnes),5510,46344,32381,29688,28298,24656,47006,
Czech Republic,167,Grapes,560,Production (tonnes),5510,99029,98323,68737,45923,91253,59990,
Czechoslovakia,51,Grapes,560,Production (tonnes),5510,,,,,,,
Democratic People's Republic of Korea,116,Grapes,560,Production (tonnes),5510,,,,,,,
Democratic Republic of the Congo,250,Grapes,560,Production (tonnes),5510,,,,,,,
Denmark,54,Grapes,560,Production (tonnes),5510,,,,,,,
Djibouti,72,Grapes,560,Production (tonnes),5510,,,,,,,
Dominica,55,Grapes,560,Production (tonnes),5510,,,,,,,
Dominican Republic,56,Grapes,560,Production (tonnes),5510,,,,,,,
Ecuador,58,Grapes,560,Production (tonnes),5510,540,355,400,414,391,400,
Egypt,59,Grapes,560,Production (tonnes),5510,1485010,1531418,1370241,1360251,1320801,1378815,
El Salvador,60,Grapes,560,Production (tonnes),5510,,,,,,,
Equatorial Guinea,61,Grapes,560,Production (tonnes),5510,,,,,,,
Eritrea,178,Grapes,560,Production (tonnes),5510,,,,,,,
Estonia,63,Grapes,560,Production (tonnes),5510,,,,,,,
Ethiopia,238,Grapes,560,Production (tonnes),5510,8025,5605,6493,5000,4914,5000,
Ethiopia PDR,62,Grapes,560,Production (tonnes),5510,,,,,,,
Falkland Islands (Malvinas),65,Grapes,560,Production (tonnes),5510,,,,,,,
Faroe Islands,64,Grapes,560,Production (tonnes),5510,,,,,,,
Fiji,66,Grapes,560,Production (tonnes),5510,,,,,,,
