,,,,,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,EAP,East Asia & Pacific,AG.LND.TOTL.K2,Land area (sq. km),"15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,120","15,869,090","15,869,050","15,869,020","15,869,020","15,869,010","15,869,010","15,869,010","15,869,010","15,869,010","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,000","15,869,060","15,869,060","15,869,060","15,869,060","15,869,060","15,854,630","15,854,670","15,854,130","15,853,650","15,853,530","15,853,470","15,853,580","15,853,630","15,853,630"
2,ECA,Europe & Central Asia,AG.LND.TOTL.K2,Land area (sq. km),"23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,440","23,069,420","23,069,380","23,069,350","23,069,360","23,069,330","23,069,330","23,069,320","23,069,300","23,069,290","23,069,280","23,069,270","23,069,260","23,069,250","23,069,230","23,069,220","23,069,210","23,068,200","23,068,190","23,068,300","23,068,300","23,064,610","23,059,770","23,056,780","23,056,370","23,057,060","23,059,650","23,066,460","23,059,280","23,058,610","23,059,380","23,059,440","23,057,800","23,059,910","23,054,160","23,054,010","23,054,010"
3,EMU,Euro area,AG.LND.TOTL.K2,Land area (sq. km),"2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,090","2,511,060","2,510,940","2,510,880","2,510,850","2,510,840","2,510,850","2,510,780","2,510,770","2,510,770","2,510,740","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,750","2,510,310","2,509,830","2,510,350","2,510,560","2,510,520","2,510,420","2,509,830","2,509,810","2,509,810"
4,HIC,High income,AG.LND.TOTL.K2,Land area (sq. km),"33,489,950","33,489,930","33,489,940","33,489,940","33,489,930","33,489,920","33,489,910","33,489,900","33,489,900","33,489,890","33,489,880","33,489,780","33,489,780","33,489,750","33,489,530","33,489,450","33,489,330","33,489,330","33,489,300","33,489,120","33,489,200","33,488,990","33,488,950","33,487,460","33,487,360","33,487,460","33,487,370","33,487,360","33,487,360","33,487,360","33,487,360","33,487,420","33,487,410","33,487,410","33,487,410","33,487,310","33,556,000","33,556,000","33,556,000","33,558,340","33,555,870","33,556,450","33,554,800","33,554,760","33,554,520","33,554,270","33,554,020","33,554,020"
5,HPC,Heavily indebted poor countries (HIPC),AG.LND.TOTL.K2,Land area (sq. km),"19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,590","19,939,190","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930","19,938,930"
6,LAC,Latin America & Caribbean,AG.LND.TOTL.K2,Land area (sq. km),"20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,650","20,147,790","20,147,660","20,147,660","20,147,660","20,147,660","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570","20,147,570"
7,LDC,Least developed countries: UN classification,AG.LND.TOTL.K2,Land area (sq. km),"20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,450","20,172,050","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,171,650","20,164,730","20,164,730","20,164,730","20,164,730","20,164,730","20,164,730","20,165,080","20,165,080","20,165,080","20,165,080","20,163,280","20,163,210","20,163,320","20,163,370","20,163,370"
8,LIC,Low income,AG.LND.TOTL.K2,Land area (sq. km),"18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,780","18,747,380","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,746,980","18,732,900","18,732,930","18,732,390","18,731,910","18,731,790","18,731,730","18,731,840","18,731,890","18,731,890"
9,LMC,Lower middle income,AG.LND.TOTL.K2,Land area (sq. km),"31,185,670","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,560","31,185,490","31,185,450","31,185,560","31,185,430","31,185,420","31,185,420","31,185,420","31,185,420","31,185,420","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,410","31,185,490","31,178,560","31,178,610","31,184,630","31,184,620","31,184,490","31,184,090","31,183,970","31,183,970","31,183,980","31,183,810","31,182,140","31,182,180","31,182,210","31,182,160","31,182,160"
10,LMY,Low & middle income,AG.LND.TOTL.K2,Land area (sq. km),"96,091,650","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,540","96,091,450","96,090,970","96,090,650","96,090,530","96,090,490","96,090,490","96,090,480","96,090,370","96,090,360","96,090,340","96,090,330","96,090,320","96,090,310","96,090,290","96,090,280","96,090,270","96,089,260","96,089,250","96,089,360","96,089,360","96,085,670","96,073,900","96,070,980","96,076,580","96,077,280","96,079,860","96,086,670","96,065,420","96,064,780","96,065,010","96,064,400","96,060,940","96,062,980","96,057,420","96,057,300","96,057,300"
11,MIC,Middle income,AG.LND.TOTL.K2,Land area (sq. km),"77,343,870","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,760","77,343,660","77,343,580","77,343,660","77,343,550","77,343,500","77,343,500","77,343,500","77,343,390","77,343,380","77,343,360","77,343,340","77,343,340","77,343,330","77,343,310","77,343,300","77,343,290","77,342,280","77,342,270","77,342,380","77,342,380","77,338,690","77,326,930","77,323,990","77,329,610","77,330,300","77,332,880","77,339,700","77,332,510","77,331,850","77,332,620","77,332,490","77,329,140","77,331,260","77,325,580","77,325,420","77,325,420"
12,MNA,Middle East & North Africa,AG.LND.TOTL.K2,Land area (sq. km),"8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,750","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,637,710","8,643,730","8,643,730","8,643,730","8,643,730","8,643,730","8,643,730","8,643,730","8,643,540","8,643,520","8,643,520","8,643,590","8,643,580","8,643,580"
