,,,,,2008
1,EAP,East Asia & Pacific,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"4,044"
2,ECA,Europe & Central Asia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"21,825"
3,EMU,Euro area,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"28,025"
4,HIC,High income,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"75,375"
5,HPC,Heavily indebted poor countries (HIPC),ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"3,645"
6,LAC,Latin America & Caribbean,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"3,801"
7,LDC,Least developed countries: UN classification,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"3,078"
8,LIC,Low income,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"3,970"
9,LMC,Lower middle income,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"11,729"
10,LMY,Low & middle income,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"36,980"
11,MIC,Middle income,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"33,010"
12,MNA,Middle East & North Africa,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),313
13,NOC,High income: nonOECD,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"10,831"
14,OEC,High income: OECD,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"64,544"
15,SAS,South Asia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),996
16,SSA,Sub-Saharan Africa,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"6,001"
17,UMC,Upper middle income,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"21,281"
18,WLD,World,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"112,355"
19,AFG,Afghanistan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
20,ALB,Albania,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),80
21,DZA,Algeria,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),23
22,ASM,American Samoa,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),4
23,ADO,Andorra,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
24,AGO,Angola,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),15
25,ATG,Antigua and Barbuda,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),12
26,ARG,Argentina,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),307
27,ARM,Armenia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),10
28,ABW,Aruba,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),1
29,AUS,Australia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"5,485"
30,AUT,Austria,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,087"
31,AZE,Azerbaijan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),42
32,BHS,Bahamas The,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),43
33,BHR,Bahrain,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),4
34,BGD,Bangladesh,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),20
35,BRB,Barbados,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
36,BLR,Belarus,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),440
37,BEL,Belgium,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),502
38,BLZ,Belize,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),99
39,BEN,Benin,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),49
40,BMU,Bermuda,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),90
41,BTN,Bhutan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),9
42,BOL,Bolivia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),53
43,BIH,Bosnia and Herzegovina,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),32
44,BWA,Botswana,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),60
45,BRA,Brazil,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,444"
46,BRN,Brunei Darussalam,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),45
47,BGR,Bulgaria,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),905
48,BFA,Burkina Faso,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),72
49,BDI,Burundi,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),15
50,KHM,Cambodia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),30
51,CMR,Cameroon,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),39
52,CAN,Canada,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"5,122"
53,CPV,Cape Verde,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),1
54,CYM,Cayman Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),33
55,CAF,Central African Republic,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),32
56,TCD,Chad,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),9
57,CHI,Channel Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
58,CHL,Chile,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),102
59,CHN,China,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,981"
60,COL,Colombia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),263
61,COM,Comoros,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
62,ZAR,Congo Dem. Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),66
63,COG,Congo Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),14
64,CRI,Costa Rica,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),165
65,CIV,Cote d'Ivoire,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),240
66,HRV,Croatia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),177
67,CUB,Cuba,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),71
68,CYP,Cyprus,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),29
69,CZE,Czech Republic,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,765"
70,DNK,Denmark,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"3,847"
71,DJI,Djibouti,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),1
72,DMA,Dominica,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
73,DOM,Dominican Republic,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),59
74,ECU,Ecuador,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),104
75,EGY,Egypt Arab Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),26
76,SLV,El Salvador,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),77
77,GNQ,Equatorial Guinea,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),13
78,ERI,Eritrea,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),3
79,EST,Estonia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"9,617"
80,ETH,Ethiopia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),42
81,FRO,Faeroe Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
82,FJI,Fiji,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),23
83,FIN,Finland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"6,046"
84,FRA,France,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,541"
85,PYF,French Polynesia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
86,GAB,Gabon,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),22
87,GMB,Gambia The,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
88,GEO,Georgia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),33
89,DEU,Germany,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"14,388"
90,GHA,Ghana,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),302
91,GRC,Greece,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),111
92,GRL,Greenland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
93,GRD,Grenada,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
94,GUM,Guam,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),12
95,GTM,Guatemala,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),163
96,GIN,Guinea,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),102
97,GNB,Guinea-Bissau,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),9
98,GUY,Guyana,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),3
99,HTI,Haiti,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),8
100,HND,Honduras,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),77
101,HKG,Hong Kong SAR China,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),98
102,HUN,Hungary,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),136
103,ISL,Iceland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),77
104,IND,India,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),556
105,IDN,Indonesia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),469
106,IRN,Iran Islamic Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),145
107,IRQ,Iraq,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),8
108,IRL,Ireland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),85
109,IMY,Isle of Man,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
110,ISR,Israel,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),222
111,ITA,Italy,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),456
112,JAM,Jamaica,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),71
113,JPN,Japan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),216
114,JOR,Jordan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),12
115,KAZ,Kazakhstan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),77
116,KEN,Kenya,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),284
117,KIR,Kiribati,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),13
118,PRK,Korea Dem. Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),31
119,KOR,Korea Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),32
120,KSV,Kosovo,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
121,KWT,Kuwait,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),5
122,KGZ,Kyrgyz Republic,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),29
123,LAO,Lao PDR,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),25
124,LVA,Latvia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),540
125,LBN,Lebanon,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),11
126,LSO,Lesotho,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),1
127,LBR,Liberia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),16
128,LBY,Libya,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),8
129,LIE,Liechtenstein,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),10
130,LTU,Lithuania,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),250
131,LUX,Luxembourg,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),58
132,MAC,Macao SAR China,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
133,MKD,Macedonia FYR,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),61
134,MDG,Madagascar,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),53
135,MWI,Malawi,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),96
136,MYS,Malaysia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),684
137,MDV,Maldives,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
138,MLI,Mali,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),10
139,MLT,Malta,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),91
140,MHL,Marshall Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
141,MRT,Mauritania,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),3
142,MUS,Mauritius,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),23
143,MYT,Mayotte,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
144,MEX,Mexico,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),182
145,FSM,Micronesia Fed. Sts.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),8
146,MDA,Moldova,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),63
147,MCO,Monaco,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),1
148,MNG,Mongolia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),51
149,MNE,Montenegro,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
150,MAR,Morocco,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),31
151,MOZ,Mozambique,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),46
152,MMR,Myanmar,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),49
153,NAM,Namibia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),31
154,NPL,Nepal,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),19
