Country,Country Code,"2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2012 [YR2012] - GINI index (World Bank estimate) [SI.POV.GINI],2012 [YR2012] - Income share held by highest 20% [SI.DST.05TH.20],2012 [YR2012] - Income share held by lowest 20% [SI.DST.FRST.20],2012 [YR2012] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],"2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]"
Afghanistan,AFG,,,,,,,29726803,,
Albania,ALB,-1.220414923,-1.314202703,28.96,37.82,8.85,0.030745183,2900489,0.22,4.078239506
Algeria,DZA,,,,,,,37439427,,
Angola,AGO,,,,,,,22685632,,
Argentina,ARG,6.427385951,3.128213664,42.49,47.51,4.73,0.686152151,42095224,0.77,7.667372609
Armenia,ARM,,,30.48,39.38,8.72,0.051823099,2978339,0.33,
Australia,AUS,,,,,,,22728254,,
Austria,AUT,0.37,0.39,30.48,38.41,7.78,,8429991,,28.30919
Azerbaijan,AZE,,,,,,,9295784,,
Bangladesh,BGD,,,,,,,155257387,,
Belarus,BLR,,,26.01,35.78,9.65,0,9464000,0,
Belgium,BEL,1.14,0.44,27.59,36.41,8.62,,11128246,,27.286607
Belize,BLZ,,,,,,,336707,,
Benin,BEN,,,,,,,10049792,,
Bhutan,BTN,6.532871765,6.465591707,38.65,45.92,6.77,0.016361642,743711,0.42,3.526738329
Bolivia,BOL,10.10363021,4.287553527,46.7,50.5,3.27,0.928655713,10238762,4.85,3.704698515
Bosnia and Herzegovina,BIH,,,,,,,3828419,,
Botswana,BWA,,,,,,,2132822,,
Brazil,BRA,6.929789399,4.539323419,52.67,57.18,3.38,9.290232706,202401584,2.48,4.818376534
Bulgaria,BGR,1.290478108,1.368433659,36.01,42.7,6.16,0.148309526,7305888,0.77,7.217187949
Burkina Faso,BFA,,,,,,,16590813,,
Burundi,BDI,,,,,,,10124572,,
Cabo Verde,CPV,,,,,,,500870,,
Cambodia,KHM,8.52889068,4.094210892,30.76,40.21,9.05,0.912183683,14832255,0.97,
Cameroon,CMR,,,,,,,21659488,,
Canada,CAN,,,,,,,34751476,,
Central African Republic,CAF,,,,,,,4619500,,
Chad,TCD,,,,,,,12715465,,
Chile,CHL,,,,,,,17388437,,
China,CHN,,,,,,,1350695000,,
Colombia,COL,5.985889255,3.587128662,53.54,57.88,3.29,3.323864176,46881018,2.9,3.523582082
Comoros,COM,,,,,,,733661,,
"Congo, Dem. Rep.",ZAR,7.809694615,7.204803643,42.1,48.37,5.53,54.25071729,70291160,39.25,0.583222277
"Congo, Rep.",COG,,,,,,,4286188,,
Costa Rica,CRI,,,48.61,53.91,4.21,0.080051346,4654148,0.68,
Cote d'Ivoire,CIV,,,,,,,21102641,,
Croatia,HRV,,,,,,,4267558,,
Cyprus,CYP,-2.75,-1.58,34.31,42.74,7.99,,1129303,,23.571668
Czech Republic,CZE,0.150883946,0.374039198,26.13,36.12,9.55,0.006306471,10510785,0.08,15.82033574
Denmark,DNK,-0.75,0.32,29.08,37.75,8.48,,5591572,,27.583963
Djibouti,DJI,,,45.13,50.34,4.27,0.156282241,853069,7.85,
Dominican Republic,DOM,1.78790302,-0.196495234,45.68,51.55,5.01,0.263015432,10155036,0.68,4.187618448
East Asia & Pacific (developing only),EAP,,,,,,147.2,1991783241,1.47,
Ecuador,ECU,5.5125064,0.96594458,46.57,51.59,4.3,0.905124239,15419493,2.46,3.75324125
"Egypt, Arab Rep.",EGY,,,,,,,85660902,,
El Salvador,SLV,0.205283545,-1.49253369,41.8,48.15,5.7,0.252604893,6072233,0.98,3.639461505
Equatorial Guinea,GNQ,,,,,,,773729,,
Eritrea,ERI,,,,,,,4892233,,
Estonia,EST,-2.096641448,-1.241496386,33.15,40.83,7.17,0.01309469,1322696,1.21,11.55141714
Ethiopia,ETH,,,,,,,92191211,,
Europe & Central Asia (developing only),ECA,,,,,,10.14,259879171,0.58,
Fiji,FJI,,,,,,,874158,,
Finland,FIN,1.55,1.07,27.12,36.68,9.43,,5413971,,28.861744
France,FRA,0.19,0.39,33.1,41.23,7.8,,65639975,,26.828167
Gabon,GAB,,,,,,,1613489,,
"Gambia, The",GMB,,,,,,,1807108,,
Georgia,GEO,,,41.35,47.07,5.28,0.5924925,3825000,5.04,
Germany,DEU,,,,,,,80425823,,
Ghana,GHA,,,,,,,25544565,,
Greece,GRC,-10.02,-8.4,36.68,42.31,5.55,,11045011,,9.6262169
Guatemala,GTM,,,,,,,15368759,,
Guinea,GIN,,,33.73,41.5,7.56,4.101466121,11628767,10.34,
Guinea-Bissau,GNB,,,,,,,1714620,,
Guyana,GUY,,,,,,,758410,,
Haiti,HTI,,,60.79,64.29,1.98,5.546707175,10288828,28.9,
Honduras,HND,-3.217394433,-2.679658667,57.4,61.13,2.63,1.652437582,7736131,9.25,1.781297082
Hungary,HUN,-1.932387075,-0.665867349,30.55,38.58,7.8,0.025792941,9920362,0.21,9.875165115
Iceland,ISL,-3.85,-4.56,26.94,36.38,9.18,,320716,,27.169659
India,IND,,,,,,,1263589639,,
Indonesia,IDN,,,,,,,248037853,,
"Iran, Islamic Rep.",IRN,,,,,,,76156975,,
Iraq,IRQ,0.327214877,0.975873642,29.54,38.51,8.8,,32780975,,
Ireland,IRL,-4.38,-3.88,32.52,40.57,7.73,,4586897,,20.919039
Israel,ISR,,,,,,,7910500,,
Italy,ITA,-2.86,-1.82,35.16,41.68,6.23,,59539717,,18.374273
Jamaica,JAM,,,,,,,2707805,,
Japan,JPN,,,,,,,127561489,,
Jordan,JOR,,,,,,,6318000,,
Kazakhstan,KAZ,,,27.43,37.09,9.59,0.010074855,16791425,0.01,
Kenya,KEN,,,,,,,42542978,,
Kiribati,KIR,,,,,,,106620,,
Kosovo,KSV,,,29.4,38.31,8.74,0.00054156,1805200,0.01,
Kyrgyz Republic,KGZ,-0.13,-2.35,27.37,37.32,9.62,0.16316952,5607200,0.74,3.31
Lao PDR,LAO,1.246212338,1.959489762,37.89,45.86,7.25,1.938678475,6473050,7.76,
Latin America & Caribbean (developing only),LAC,,,,,,33.68,513587153,2.64,
Latvia,LVA,-3.039538556,-4.326167635,35.48,42.39,6.34,0.028073602,2034319,0.97,8.305152458
Lesotho,LSO,,,,,,,2057331,,
Liberia,LBR,,,,,,,4190155,,
Lithuania,LTU,-1.765362775,-1.164148741,35.15,42.02,6.51,0.030774062,2987773,0.75,9.275661879
Low & middle income,LMY,,,,,,896.7,5706299280,4.35,
Low income,LIC,,,,,,278.3585829,589368162,18.6,
Lower middle income,LMC,,,,,,521.7639548,2793168923,4.69,
Luxembourg,LUX,-2.67,-0.54,34.79,41.86,7.06,,530946,,33.437408
"Macedonia, FYR",MKD,,,,,,,2069270,,
Madagascar,MDG,,,,,,,22293720,,
Malawi,MWI,,,,,,,15700436,,
Malaysia,MYS,,,,,,,29021940,,
Maldives,MDV,,,,,,,385000,,
Mali,MLI,,,,,,,16112333,,
Mauritania,MRT,,,,,,,3777067,,
Mauritius,MUS,0.761110277,0.863600275,35.84,43.88,7.42,0.006656175,1255882,0.11,5.538383198
Mexico,MEX,1.148783774,-0.219682218,48.07,54.1,4.86,3.271501808,122070963,0.67,3.543955291
"Micronesia, Fed. Sts.",FSM,,,,,,,103516,,
Middle East & North Africa (developing only),MNA,,,,,,,344052017,,
Middle income,MIC,,,,,,641.1514691,5116931118,3.15,
Moldova,MDA,,,29.16,38.36,8.98,0.012102365,3559519,0.04,
Mongolia,MNG,,,33.75,41.66,7.65,0.010671688,2808339,0.06,
Montenegro,MNE,,,32.16,39.99,7.76,0.007819573,620601,0.52,
Morocco,MAR,,,,,,,32984190,,
Mozambique,MOZ,,,,,,,25732928,,
Namibia,NAM,,,,,,,2291645,,
Nepal,NPL,,,,,,,27500515,,
Netherlands,NLD,-0.01,-0.99,27.99,37.07,8.87,,16754962,,28.04926
Nicaragua,NIC,,,,,,,5877034,,
Niger,NER,,,,,,,17635782,,
Nigeria,NGA,,,,,,,168240403,,
Norway,NOR,3.17,2.39,25.9,35.26,9.3,,5018573,,38.99761
Pakistan,PAK,,,,,,,177392252,,
Panama,PAN,4.135607366,3.63480008,51.9,56.28,3.19,0.16509986,3743761,1.44,5.389904465
Papua New Guinea,PNG,,,,,,,7154870,,
Paraguay,PRY,7.206485175,5.204236828,48.17,52.87,4.02,0.23666691,6379162,1.15,4.796035497
Peru,PER,8.56763202,3.987067099,45.11,49.94,4.28,1.245557118,30158768,1.13,4.620008839
Philippines,PHL,1.148157673,0.405350123,43.04,49.64,5.92,12.58787091,96017322,2.74,2.199231215
Poland,POL,1.99382988,1.442519068,32.39,40.66,8.03,0.007612633,38063164,0,8.351042405
Portugal,PRT,-1.99,-2.14,36.04,43.17,6.45,,10514844,,11.653326
Romania,ROM,,,27.33,36.28,8.91,0,20058035,0,
Russian Federation,RUS,5.861833863,5.269909195,41.59,48.33,5.9,0.05728067,143201676,0.01,10.09976528
Rwanda,RWA,,,,,,,10817350,,
Samoa,WSM,,,,,,,188901,,
Sao Tome and Principe,STP,,,,,,,178484,,
Senegal,SEN,,,,,,,13780108,,
Serbia,SRB,,,,,,,7199077,,
Seychelles,SYC,,,,,,,88303,,
Sierra Leone,SLE,,,,,,,6043157,,
Slovak Republic,SVK,5.484940444,6.673189197,26.12,34.86,8.62,0.01297819,5407579,0.12,16.27280949
Slovenia,SVN,-0.835708977,-0.279796041,25.59,35.23,9.43,0.000617148,2057159,0,19.79273239
Solomon Islands,SLB,,,,,,,549162,,
South Africa,ZAF,,,,,,,52341695,,
South Asia,SAS,,,,,,309.23,1675019307,3.73,
South Sudan,SSD,,,,,,,10980623,,
Spain,ESP,-1.32,0,35.89,41.83,5.76,,46773055,,16.040552
Sri Lanka,LKA,2.214519524,1.662761185,38.58,46.49,7.27,0.3451656,20424000,0.26,3.374176101
St. Lucia,LCA,,,,,,,180890,,
Sub-Saharan Africa (developing only),SSA,,,,,,388.76,921978391,16.47,
Sudan,SDN,,,,,,,37712420,,
Suriname,SUR,,,,,,,528535,,
Swaziland,SWZ,,,,,,,1231694,,
Sweden,SWE,2.04,2.25,27.32,36.23,8.7,,9519374,,29.01157
Switzerland,CHE,2.43,0.93,31.64,39.81,8.09,,7996861,,34.378732
Syrian Arab Republic,SYR,,,,,,,21427155,,
Tajikistan,TJK,,,,,,,7930929,,
Tanzania,TZA,,,,,,,48645709,,
Thailand,THA,4.777740623,3.949491578,39.26,46.32,6.65,0.040298478,67164130,0.01,6.210629052
Timor-Leste,TMP,,,,,,,1148958,,
Togo,TGO,,,,,,,6745581,,
Trinidad and Tobago,TTO,,,,,,,1341579,,
Tunisia,TUN,,,,,,,10777500,,
Turkey,TUR,4.328762193,4.810517186,40.17,46.59,5.8,0.192658063,74099255,0.01,6.670806177
Turkmenistan,TKM,,,,,,,5172941,,
Uganda,UGA,3.901576948,2.94714837,42.37,49.43,6.08,11.76716609,35400620,10.13,1.385365391
Ukraine,UKR,,,24.74,35.02,10.22,0,45593300,0,
United Kingdom,GBR,-1.67,-2.78,32.57,40.07,7.51,,63700300,,21.957837
United States,USA,,,,,,,314112078,,
Upper middle income,UMC,,,,,,125.947911,2323762195,1.39,
Uruguay,URY,7.865755688,4.331400385,41.32,46.9,5.23,0.013587012,3396753,0.11,8.754755987
Uzbekistan,UZB,,,,,,,29774500,,
Vanuatu,VUT,,,,,,,247498,,
"Venezuela, RB",VEN,,,,,,,29854238,,
Vietnam,VNM,,,38.7,45.7,6.52,2.86853716,88809200,0.58,
West Bank and Gaza,WBG,,,,,,,4046901,,
World,WLD,,,,,,902.394742,7088725389,3.72,
"Yemen, Rep.",YEM,,,,,,,24882792,,
Zambia,ZMB,,,,,,,14786581,,
Zimbabwe,ZWE,,,,,,,14565482,,
