Country Name,Country Code,2012 [YR2012] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2012 [YR2012] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2012 [YR2012] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",2012 [YR2012] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2012 [YR2012] - Lending interest rate (%) [FR.INR.LEND],2012 [YR2012] - Real interest rate (%) [FR.INR.RINR],2012 [YR2012] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2012 [YR2012] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2012 [YR2012] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2012 [YR2012] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2012 [YR2012] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]"
Afghanistan,AFG,,8.5,,0.045533522,15,6.181851186,,36.3,6.79,,32.29654235
Albania,ALB,77.30000305,13.89999962,27.89999962,0.698417997,10.88034654,9.739103093,,38.5,1.09,2952.113217,
Algeria,DZA,,11,27.5,0.060945096,8,0.412432693,104.7883732,72.8,,2465.088839,
American Samoa,ASM,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,
Angola,AGO,,6.900000095,,0.63377165,16.65640132,,,52.1,,,68.14933177
Antigua and Barbuda,ATG,,,,,10.15719664,7.470988724,104.0900341,41,,,12.7937769
Arab World,ARB,,11.45592531,,,,,,42.23809524,,,
Argentina,ARG,27.79999924,7.199999809,18.29999924,,14.06083333,-3.881143096,,107.5,5.56,6863.919509,
Armenia,ARM,52.70000076,17.29999924,35.40000153,1.61166902,17.23006824,11.28119329,96.80171997,38.8,2.29,1866.222255,28.18277486
Aruba,ABW,,,,,9.183333333,,,,,,
Australia,AUS,19,5.199999809,11.69999981,,6.975,4.81999084,109.7857518,47.2,,31397.8162,72.62445721
Austria,AUT,24.89999962,4.300000191,9.399999619,,,,98.8525,52.3,1.02,33176.18211,46.87914217
Azerbaijan,AZE,67.09999847,5.199999809,14.19999981,1.51932265,18.34583333,16.66429915,,40,4.48,1788.207787,43.9253806
"Bahamas, The",BHS,,14,30.79999924,,4.75,2.590248639,99.5516704,44.6,,16620.80374,
Bahrain,BHR,,3.700000048,5.300000191,,6.035,3.724826744,95.86083333,13.5,5.69,,
Bangladesh,BGD,,4.5,,0.186554141,13,4.470411165,,,,633.9424663,
Barbados,BRB,19.5,11.60000038,,,8.7,10.13205197,,34.7,,12096.0026,
Belarus,BLR,4.699999809,5.900000095,,1.777347842,19.49166667,-31.88974384,,58.5,1.95,5109.650471,6.839114898
Belgium,BEL,44.59999847,7.5,19.79999924,,,,98.8041567,58.2,1.02,30629.53354,59.7401539
Belize,BLZ,,14.39999962,25,3.374482808,12.44083333,10.29845686,91.66673611,33.2,9.83,2899.564968,33.91934309
Benin,BEN,,1,,0.606892024,,,,65.2,15.82,586.8117453,19.68207675
Bermuda,BMU,20.5,,35.70000076,,,,,,15.19,,
Bhutan,BTN,,2.099999905,7.199999809,3.602858659,14,4.414021052,,37.3,,1399.902074,
Bolivia,BOL,,2.700000048,,0.35339917,11.13494786,3.767190325,107.1567263,83.4,3.66,1026.530002,
Bosnia and Herzegovina,BIH,90.5,28.10000038,62.79999924,1.574767794,6.890833333,5.960334598,,23.6,1.41,,13.00686757
Botswana,BWA,,17.70000076,,0.166489284,11,10.72408176,,25.4,6.39,5098.075627,33.23764353
Brazil,BRA,14.60000038,6.099999905,14.60000038,0.625318462,36.63666667,26.7290933,93.1124426,,7.76,5001.0674,44.76307565
Brunei Darussalam,BRN,,3.799999952,,,5.5,5.551287132,,15.4,,,
Bulgaria,BGR,55.20000076,12.30000019,28.10000038,1.743078244,9.714208333,8.030344963,100.6966667,27.8,1.02,4303.882658,24.78075991
Burkina Faso,BFA,,3.299999952,,0.196025318,,,,42.7,8.35,394.2889599,28.74217731
Burundi,BDI,,7,,0.127392026,14.32,-0.950038464,102.1824818,46.5,6.41,106.9796206,
Cabo Verde,CPV,,9.100000381,,0.785503736,9.900358847,9.295956569,,37.2,,,
Cambodia,KHM,,0.200000003,,0.58420021,,,,22.6,,607.6723678,19.41900246
Cameroon,CMR,,4.099999905,,0.237291433,,,96.65166667,48.8,11.7,838.6989047,
Canada,CAN,12.10000038,7.199999809,14.39999962,,3,1.471276275,101.7108333,20.1,0.83,30089.01405,77.49754631
Caribbean small states,CSS,,10.89304275,,,,,,38.65384615,,,
Cayman Islands,CYM,,,21.29999924,,,,,,,,
Central African Republic,CAF,,6.900000095,,0.102650733,,,99.18415987,67.4,,328.838949,13.27471973
Central Europe and the Baltics,CEB,43.95038083,9.988800216,26.28537474,,,,,41.87272727,,8143.525507,
Chad,TCD,,7,,0.173991871,,,,75.7,,,
Channel Islands,CHI,,,,,,,,,,,
Chile,CHL,,6.400000095,16.29999924,,10.05726244,9.129627269,103.5558333,27.7,1.78,7690.031623,35.34546107
China,CHN,,4.5,,0.460563409,6,3.523559633,108.4325,,,2690.290558,
Colombia,COL,14.80000019,10.60000038,20.5,1.090501294,12.5850402,9.317552811,106.7875,76,4.41,3588.068444,37.9395562
Comoros,COM,,6.5,,0.400555239,10.5,8.167313646,,217.9,6.03,485.406592,
"Congo, Dem. Rep.",ZAR,,8.199999809,,0.659654211,28.44666667,19.49260686,118.7359895,339.1,,139.2706673,
"Congo, Rep.",COG,,6.599999905,,0.237073894,,,,64.5,,187.1165405,
Costa Rica,CRI,9.800000191,7.800000191,18.39999962,1.45763581,18.2125,13.7915906,107.6965384,58.4,,5377.351609,26.94697584
Cote d'Ivoire,CIV,,4.099999905,,0.676908665,,,97.84,44.4,6.79,,25.27819379
Croatia,HRV,63.70000076,15.80000019,42.09999847,,9.480833333,7.776584655,96.05166667,21.2,1.37,8604.060765,13.86045314
Cuba,CUB,,3.200000048,,,,,,,8.07,,
Curacao,CUW,,,,,,,,,,,
Cyprus,CYP,30.10000038,11.80000019,27.70000076,,,,97.48835426,22.2,1.02,19800.65367,40.09354578
Czech Republic,CZE,43.40000153,7,19.5,,5.406723237,3.964114793,99.05166667,50,1.02,10273.50229,33.40362801
Denmark,DNK,28,7.5,14.10000038,,,,97.0825,27,1.02,39503.64339,50.51346256
Djibouti,DJI,,,,,11.98875,7.481150392,,38.1,17.7,,
Dominica,DMA,,,,1.59734708,9.042981869,11.28959607,94.6325,37.1,,,18.76445325
Dominican Republic,DOM,42.20000076,14.69999981,31.20000076,1.653694923,15.4825,10.58920093,100.881652,43.4,,4006.782622,
East Asia & Pacific (all income levels),EAS,,4.381289652,,,,,,33.63076923,,4855.616242,
East Asia & Pacific (developing only),EAP,,4.407660581,,0.519334592,,,,35.14210526,4.11,2318.696231,
Ecuador,ECU,4.900000095,4.099999905,11.60000038,0.816938774,,,102.4883126,34.5,4.34,2972.162261,
"Egypt, Arab Rep.",EGY,88.69999695,12.69999981,34.70000076,0.36914951,12,-5.268507905,,43.2,,1221.607821,43.99257509
El Salvador,SLV,,6.099999905,12.39999962,2.2677176,,,,34.8,2.42,2637.639847,32.72653907
Equatorial Guinea,GNQ,,6.900000095,,,,,104.3691667,47.1,,,
Eritrea,ERI,,7.099999905,,0.279379299,,,,84.5,,,
Estonia,EST,54.70000076,10.10000038,20.89999962,,5.747075316,2.959887212,,66.8,1.02,9685.012063,17.95004032
Ethiopia,ETH,35.59999847,5.599999905,26.29999924,0.239431049,,,,32.5,9.96,,
Euro area,EMU,44.74615011,11.3998828,25.73601045,,,,,43.81052632,,26751.73601,
Europe & Central Asia (all income levels),ECS,37.21151538,9.295248636,21.08417221,,,,,40.5,,16729.55477,
Europe & Central Asia (developing only),ECA,31.8495603,9.488172187,18.69364375,1.643636203,,,,38.77368421,2.59,3925.993734,
European Union,EUU,42.13208113,10.50915428,24.93170851,,,,,42.10357143,1.02,24659.86028,
Faroe Islands,FRO,,,,,,,,,,,
Fiji,FJI,,8.5,,0.744959693,6.968052878,3.355639811,106.5725,37.6,,,
Finland,FIN,21.39999962,7.599999905,19,,,,97.15833333,40.6,1.02,31125.43178,27.66057233
Fragile and conflict affected situations,FCS,,8.109243693,,,,,,61.36666667,,,
France,FRA,40,9.899999619,23.89999962,,,,96.40580338,67.4,1.02,29508.50396,74.81973389
French Polynesia,PYF,,,,,,,,,3.8,,
Gabon,GAB,,20.29999924,,0.854465328,,,96.44002967,43.5,,3569.563468,
"Gambia, The",GMB,,7,44.29999924,0.714719957,28,23.32082896,90.08900148,283.2,12.5,341.2388996,
Georgia,GEO,,15,33.29999924,2.832843719,14.80845,13.41181362,111.2832393,16.5,0.68,2141.423731,39.41309756
Germany,DEU,45.09999847,5.400000095,8,,,,95.65920284,45.9,1.02,32685.19309,39.83894308
Ghana,GHA,,3.599999905,,0.552304709,,,88.97842518,32.8,,,
Greece,GRC,59.09999847,24.20000076,55.29999924,,,,97.59166667,44.1,1.02,15205.01268,36.65875848
Greenland,GRL,,,,,,,,,,,
Grenada,GRD,,,,1.195602322,9.725900007,5.579138009,98.70334414,45.3,12.69,,18.72519841
Guam,GUM,,,,,,,,,,,
Guatemala,GTM,12.89999962,2.900000095,,1.354902477,13.48666667,9.837321919,,40.9,2.74,2038.335974,31.43098509
Guinea,GIN,,1.700000048,1,0.400615179,,,,91.2,11.91,,
Guinea-Bissau,GNB,,6.900000095,,0.060552083,,,,45.9,9.84,,
Guyana,GUY,,11.19999981,,0.754102631,13.86111111,7.672971038,100.8541667,35.9,7.13,,
Haiti,HTI,,7,,0.039673969,8.934166667,3.465436071,,40.4,3.68,429.3750176,
Heavily indebted poor countries (HIPC),HPC,,6.75806981,,,,,,66.11052632,,405.7331934,
High income,HIC,32.73432295,7.803283909,18.1808254,,,,,37.81403509,1.66,25145.28738,
High income: nonOECD,NOC,30.78486613,6.126887837,17.86929058,,,,,34.05185185,,10798.74504,
High income: OECD,OEC,33.24257269,8.274860768,18.27776305,,,,,41.2,2.11,29995.35818,
Honduras,HND,,4,,0.537977049,18.45069917,14.35696298,,39.5,,1346.472015,32.46551728
"Hong Kong SAR, China",HKG,13.19999981,3.299999952,9.300000191,,5,1.405370342,,23,0,,
Hungary,HUN,46.59999847,10.89999962,28.20000076,,9.001544511,5.311233912,97.76166667,49.8,1.02,8445.6489,28.98460042
Iceland,ISL,25.39999962,6,13.5,,8.324338772,4.976840682,101.0308247,30.6,1.01,,37.51374476
India,IND,,3.599999905,10.69999981,0.528818457,10.60416667,2.767321537,,,,947.1199432,52.25405805
Indonesia,IDN,,6.099999905,19.29999924,0.715675806,11.795,7.750188565,,,,1453.422004,47.43100874
"Iran, Islamic Rep.",IRN,,13.10000038,,0.027704227,11,-8.868004025,123.1385262,44.1,,2624.908826,
Iraq,IRQ,,15.19999981,,,13.03416667,10.1111252,,27.8,,,
Ireland,IRL,61.20000076,14.69999981,30.39999962,,,,95.440038,25.5,1.02,31595.95477,53.6849306
Isle of Man,IMY,,,,,,,,,,,
Israel,ISR,12.19999981,6.900000095,12.10000038,,5.551510842,1.602605324,96.23833333,28.1,0.94,20140.03889,42.27814495
Italy,ITA,52.59999847,10.69999981,35.29999924,,5.2225,3.789025462,98.21666667,67.6,1.02,23991.56795,53.27661774
Jamaica,JAM,,13.69999981,34,5.019743522,17.62827224,10.4138852,,46.6,,,37.01687774
Japan,JPN,38.5,4.300000191,8.100000381,,1.4075,2.360664664,100.5491712,,1.22,29210.39226,
Jordan,JOR,,12.19999981,29.29999924,1.146592686,8.780833333,4.095883171,,28.6,,2565.888164,20.53768574
Kazakhstan,KAZ,16.5,5.300000191,3.900000095,1.336099902,,,,29,2.96,3580.259648,
Kenya,KEN,,9.199999809,,0.40456365,19.72340665,9.453556297,,43.7,10.49,588.6297375,46.18130481
Kiribati,KIR,,,,,,,,31.8,,,
"Korea, Dem. PeopleŠ—Ès Rep.",PRK,,4.199999809,,,,,,,,,
"Korea, Rep.",KOR,0.300000012,3.200000048,9,,5.395833333,4.307375316,,33.9,,18011.92558,
Kosovo,KSV,,,55.29999924,0.499068109,12.24,9.813280378,,15.6,,,
Kuwait,KWT,,3.400000095,,,4.983791667,-2.328577595,,12.4,4.37,,
Kyrgyz Republic,KGZ,16.79999924,8.399999619,17.60000038,0.934863027,23.89862506,14.02800013,,33.4,2.42,410.0046674,26.32556934
Lao PDR,LAO,,1.399999976,,0.999024306,,,,31.4,,521.2677955,26.89626542
Latin America & Caribbean (all income levels),LCN,13.80679537,6.253446895,14.4051643,,,,,45.72258065,,5088.42857,
Latin America & Caribbean (developing only),LAC,11.62719713,6.025507649,13.69531482,1.405043933,,,,44.04285714,4.77,4686.849686,
Latvia,LVA,52.09999847,14.89999962,28.5,,5.5175,1.86342981,98.72002133,35.8,1.02,6701.420069,19.50098505
Least developed countries: UN classification,LDC,,6.220463825,,,,,,56.63777778,,425.1322829,
Lebanon,LBN,,6.199999809,,3.557639963,7.249166667,1.677781385,,30.6,,6078.604506,24.95066717
Lesotho,LSO,,27.20000076,,0.320566878,10.11916667,8.228418899,94.65078876,13.8,12.7,1081.835951,
Liberia,LBR,,3.700000048,,0.07157626,13.51833333,9.165080216,,25.4,,198.3337797,
Libya,LBY,,19.20000076,48.70000076,,6,-10.90015518,,32.8,,4619.269196,
Liechtenstein,LIE,,,,,,,,,,,
Lithuania,LTU,49.20000076,13.19999981,26.70000076,,,,,43,1.02,8222.063415,19.65257159
Low & middle income,LMY,,5.522564147,,0.777850175,,,,46.63553719,4.96,1915.134077,
Low income,LIC,,5.811562864,,0.331193729,,,,69.27586207,9.58,302.4029208,
Lower middle income,LMC,,5.261546122,12.96186699,0.650104247,,,,40.34347826,5.67,994.4912383,
Luxembourg,LUX,30.29999924,5.099999905,18.79999924,,,,98.64751127,20,1.02,49393.31767,47.73099045
"Macao SAR, China",MAC,5.699999809,2,5.5,,5.25,-1.745317303,,,0,,3.480097563
"Macedonia, FYR",MKD,82,31,53.90000153,2.099734142,8.495124184,7.417724969,101.0916576,7.4,1.81,2930.670035,18.53766135
Madagascar,MDG,,3.599999905,2.599999905,0.214449854,60,51.67307299,,39.8,9.14,246.8229531,
Malawi,MWI,,7.599999905,,0.238044619,32.32986111,12.42800802,78.9718419,32.4,6.41,229.2158324,
Malaysia,MYS,8.899999619,3,10.30000019,0.819916653,4.785833333,3.748526193,100.1041649,34.6,,5058.193361,71.35113391
Maldives,MDV,,11.69999981,,0.605809996,10.4838045,4.682599694,,25.9,,,
Mali,MLI,,8.100000381,,0.243533774,,,,51.1,8.4,346.5799141,31.91777035
Malta,MLT,48.59999847,6.400000095,14.10000038,,4.7025,2.465704017,96.47755871,41.3,1.02,,47.67375657
Marshall Islands,MHL,,,,,,,,64.8,,,
Mauritania,MRT,,31.10000038,,1.216742402,17,24.24461091,,68.2,,572.8419303,
Mauritius,MUS,29.79999924,8.699999809,23.70000076,0.9804867,8.666666667,5.319343331,,27.5,0.83,5280.970968,22.41197336
Mexico,MEX,1.700000048,4.900000095,9.300000191,3.049717916,4.730833333,1.473342695,97.53664614,,,6786.987547,
"Micronesia, Fed. Sts.",FSM,,,,,14.32,9.47925102,,59.9,,,
Middle East & North Africa (all income levels),MEA,,11.30461044,,,,,,32.3,,3911.369924,
Middle East & North Africa (developing only),MNA,,12.81723383,,,,,,40.00769231,9.92,1882.304285,
Middle income,MIC,,5.491226671,,0.789489532,,,,39.49891304,4.86,2100.096484,
Moldova,MDA,12.60000038,5.599999905,13.10000038,1.107073312,13.41815434,5.119519578,110.1758333,30.8,2.62,1063.512688,4.683282675
Monaco,MCO,,,,,,,,,,,
Mongolia,MNG,67.30000305,5,14,2.422306888,18.11381443,4.725330816,,24.6,,1293.482449,20.52090198
Montenegro,MNE,79.09999847,19.60000038,41.09999847,2.303319797,9.5625,9.36888838,,21.6,2.63,,
Morocco,MAR,65.09999847,9,18.60000038,0.892589718,,,95.77163143,49.7,4.11,1967.544829,38.17894223
Mozambique,MOZ,,22.60000038,39.40000153,0.211690142,16.81354167,10.35281606,,37,,409.8967253,41.68892234
Myanmar,MMR,,3.299999952,,0.242570569,13,,,37.6,,,
Namibia,NAM,,16.70000076,34.29999924,,8.651875,-3.746518127,,21.8,6.92,4269.738847,
Nepal,NPL,,2.700000048,,0.201302751,,,,31.5,11.57,372.5391641,24.23134202
Netherlands,NLD,33.09999847,5.300000191,9.5,,1.625,0.202454142,96.9241154,39.2,1.02,36292.13359,46.5349181
New Caledonia,NCL,,,,,,,,,,,
New Zealand,NZL,11.89999962,6.900000095,18,,5.82383752,5.793912369,107.8350653,34,,23348.96047,57.3264998
Nicaragua,NIC,,7.099999905,,1.782491255,11.99430816,4.57502312,97.96,62.4,,1235.223275,35.21425094
Niger,NER,,5.099999905,,0.158017076,,,,44.3,9.68,,
Nigeria,NGA,,7.5,10.10000038,0.032986297,16.7925,6.883105755,111.3767615,,,803.287707,90.94850469
North America,NAC,27.44235557,8.091997263,16.02953789,,,,,20.1,,37677.13572,
Northern Mariana Islands,MNP,,,,,,,,,,,
Norway,NOR,8.100000381,3.200000048,8.5,,,,100.2441687,40.7,0.3,54170.02794,57.60589434
Not classified,INX,,,,,,,,,,,
OECD members,OED,30.0771853,8.020960751,16.85671982,,,,,41.16129032,1.68,26412.75615,
Oman,OMN,,7.400000095,,,5.651,0.677896878,,22,4.08,8414.388539,46.05657672
Other small states,OSS,,13.94959013,,,,,,55.35555556,,2571.649322,
Pacific island small states,PSS,,,,,,,,38.62222222,,,
Pakistan,PAK,,5.099999905,,0.389321124,,,104.3807968,,,707.972279,36.79797369
Palau,PLW,,,,,,,,75.2,2.52,,
Panama,PAN,19.70000076,4,10.30000019,2.116011372,6.91,3.314701092,,40.5,,6192.905373,
Papua New Guinea,PNG,,2.5,,0.893715935,10.815,13.99563555,128.0841667,42.1,,,
Paraguay,PRY,21.20000076,4.900000095,11.19999981,0.90628305,17.15846732,11.84862741,110.0460008,35,4.29,1444.117094,20.85021859
Peru,PER,,3.599999905,9.5,1.721986869,19.23690833,16.77082439,,36.4,,3481.081984,44.33699663
Philippines,PHL,0.899999976,7,,0.995741134,5.6795,3.639468291,105.5474538,44.5,,1594.329866,47.20600758
Poland,POL,34.79999924,10.10000038,26.5,,,,95.9925,40.3,1.02,9062.099599,26.13840148
Portugal,PRT,48.79999924,15.60000038,37.90000153,,,,99.52667061,42,1.02,14510.30436,39.22014849
Puerto Rico,PRI,,14.60000038,26.60000038,,,,,50.4,,,
Qatar,QAT,30.10000038,0.5,,,5.38110455,-1.37480942,,11.3,4.12,47985.41939,
Romania,ROM,44.20000076,7,22.60000038,1.792990349,11.32916667,6.111991032,96.64508387,43.3,1.02,5051.126488,31.85729321
Russian Federation,RUS,30.89999962,5.5,14.80000019,,9.1,1.549113729,106.4767206,,4.99,6666.651951,3.856134307
Rwanda,RWA,,0.600000024,4.5,0.118957397,,,,34.5,4.64,373.5917301,41.35598812
Samoa,WSM,,,19.10000038,0.616729107,9.86,5.658171483,102.9341667,18.4,,,25.34904252
San Marino,SMR,,,,,,,,40.1,,,35.86634801
Sao Tome and Principe,STP,,,,0.228250799,26.16805556,10.19717621,,38.7,,,29.35597858
Saudi Arabia,SAU,41.29999924,5.599999905,28.29999924,,,,99.6125,14.7,4.3,,
Senegal,SEN,,10.30000019,,0.736638411,,,,45.5,8.02,672.2514212,27.73536883
Serbia,SRB,77.90000153,23.89999962,51.09999847,2.57016031,18.2,11.23283948,,33.3,,,13.47297008
Seychelles,SYC,,,,,12.19118576,0.998428924,,23.5,,,34.37344904
Sierra Leone,SLE,,3.400000095,,0.170548437,21,8.324579888,117.2584772,32.4,10.31,,
Singapore,SGP,21,2.799999952,6.699999809,,5.38,4.17208063,110.40342,18.5,0,28106.82792,44.67617783
Sint Maarten (Dutch part),SXM,,,,,,,,,,,
Slovak Republic,SVK,63.70000076,13.89999962,34,,,,100.7383395,49.7,1.02,11052.21326,24.60253408
Slovenia,SVN,47.90000153,8.800000191,20.60000038,,,,,32.9,1.02,14315.3974,23.80620776
Small states,SST,,12.79125523,,,,,,46.1625,,,
Solomon Islands,SLB,,3.799999952,,0.868028705,11.27888202,4.633287218,112.599895,25.3,,,
Somalia,SOM,,6.900000095,,,,,,,,,
South Africa,ZAF,33.59999847,25,51.70000076,1.148207871,8.75,3.068624022,92.58833333,32,4.24,5222.020734,56.11698982
South Asia,SAS,,3.892546207,10.78419317,0.499925571,,,,37.26,8.64,883.3826837,
South Sudan,SSD,,,,,,,,26.4,,,
Spain,ESP,44.40000153,25.20000076,52.90000153,,,,98.37331978,37.9,1.02,20248.64394,40.87054961
Sri Lanka,LKA,39.29999924,4,17.29999924,0.994034415,13.28166667,2.213494388,,55.3,6.25,,18.98890085
St. Kitts and Nevis,KNA,,,,,8.733988854,6.833463691,101.8841667,51.9,,,20.40100251
St. Lucia,LCA,,,,1.225058439,9.50031902,6.599480522,100.0733339,34.6,,,27.89980257
St. Martin (French part),MAF,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,,,,1.214114652,9.414408973,8.234831924,101.7016667,38.7,,,
Sub-Saharan Africa (all income levels),SSF,,8.091681911,,,,,,58.21304348,,797.4422788,
Sub-Saharan Africa (developing only),SSA,,8.093017685,,0.503302893,,,,59.25454545,7.97,792.5490734,
Sudan,SDN,,14.60000038,,0.134336964,,,,36.1,,,
