Country,Country Code,"2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2012 [YR2012] - GINI index (World Bank estimate) [SI.POV.GINI],2012 [YR2012] - Income share held by highest 20% [SI.DST.05TH.20],2012 [YR2012] - Income share held by lowest 20% [SI.DST.FRST.20],2012 [YR2012] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],"2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]",2012 [YR2012] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2012 [YR2012] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2012 [YR2012] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",2012 [YR2012] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2012 [YR2012] - Lending interest rate (%) [FR.INR.LEND],2012 [YR2012] - Real interest rate (%) [FR.INR.RINR],2012 [YR2012] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2012 [YR2012] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2012 [YR2012] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2012 [YR2012] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2012 [YR2012] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]"
Denmark,DNK,-0.75,0.32,29.08,37.75,8.48,,5591572,,27.583963,28,7.5,14.10000038,,,,97.0825,27,1.02,39503.64339,50.51346256
Switzerland,CHE,2.43,0.93,31.64,39.81,8.09,,7996861,,34.378732,34.70000076,4.199999809,8.399999619,,2.688333333,2.908144239,106.4507796,29.4,,47479.93755,37.56207296
Iceland,ISL,-3.85,-4.56,26.94,36.38,9.18,,320716,,27.169659,25.39999962,6,13.5,,8.324338772,4.976840682,101.0308247,30.6,1.01,,37.51374476
Norway,NOR,3.17,2.39,25.9,35.26,9.3,,5018573,,38.99761,8.100000381,3.200000048,8.5,,,,100.2441687,40.7,0.3,54170.02794,57.60589434
Finland,FIN,1.55,1.07,27.12,36.68,9.43,,5413971,,28.861744,21.39999962,7.599999905,19,,,,97.15833333,40.6,1.02,31125.43178,27.66057233
Canada,CAN,,,,,,,34751476,,,12.10000038,7.199999809,14.39999962,,3,1.471276275,101.7108333,20.1,0.83,30089.01405,77.49754631
Netherlands,NLD,-0.01,-0.99,27.99,37.07,8.87,,16754962,,28.04926,33.09999847,5.300000191,9.5,,1.625,0.202454142,96.9241154,39.2,1.02,36292.13359,46.5349181
New Zealand,NZL,,,,,,,,,,11.89999962,6.900000095,18,,5.82383752,5.793912369,107.8350653,34,,23348.96047,57.3264998
Australia,AUS,,,,,,,22728254,,,19,5.199999809,11.69999981,,6.975,4.81999084,109.7857518,47.2,,31397.8162,72.62445721
Sweden,SWE,2.04,2.25,27.32,36.23,8.7,,9519374,,29.01157,15.89999962,8.100000381,23.60000038,,,,105.700095,52.1,1.02,38926.00451,15.70960681
Israel,ISR,,,,,,,7910500,,,12.19999981,6.900000095,12.10000038,,5.551510842,1.602605324,96.23833333,28.1,0.94,20140.03889,42.27814495
Austria,AUT,0.37,0.39,30.48,38.41,7.78,,8429991,,28.30919,24.89999962,4.300000191,9.399999619,,,,98.8525,52.3,1.02,33176.18211,46.87914217
United States,USA,,,,,,,314112078,,,29.29999924,8.199999809,16.20000076,,3.25,1.429118922,97.98918342,,1.54,38506.8688,96.8427337
Costa Rica,CRI,,,48.61,53.91,4.21,0.080051346,4654148,0.68,,9.800000191,7.800000191,18.39999962,1.45763581,18.2125,13.7915906,107.6965384,58.4,,5377.351609,26.94697584
Puerto Rico,PRI,,,,,,,,,,,14.60000038,26.60000038,,,,,50.4,,,
