	Indicator Name
1	Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)
2	Annualized average growth rate in per capita real survey mean consumption or income, total population (%)
3	GINI index (World Bank estimate)
4	Income share held by fourth 20%
5	Income share held by highest 10%
6	Income share held by highest 20%
7	Income share held by lowest 10%
8	Income share held by lowest 20%
9	Income share held by second 20%
10	Income share held by third 20%
11	Number of poor at $1.90 a day (2011 PPP) (millions)
12	Number of poor at $3.10 a day (2011 PPP) (millions)
13	Population, total
14	Poverty gap at $1.90 a day (2011 PPP) (%)
15	Poverty gap at $3.10 a day (2011 PPP) (%)
16	Poverty gap at national poverty lines (%)
17	Poverty gap at national poverty lines (%), including noncomparable values
18	Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
19	Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population)
20	Poverty headcount ratio at national poverty lines (% of population)
21	Poverty headcount ratio at national poverty lines (% of population), including noncomparable values
22	Rural poverty gap at national poverty lines (%)
23	Rural poverty gap at national poverty lines (%), including noncomparable values
24	Rural poverty headcount ratio at national poverty lines (% of rural population)
25	Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values
26	Survey mean consumption or income per capita, bottom 40% of poputaion (2005 PPP $ per day)
27	Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)
28	Survey mean consumption or income per capita, total population (2005 PPP $ per day)
29	Survey mean consumption or income per capita, total population (2011 PPP $ per day)
30	Urban poverty gap at national poverty lines (%)
31	Urban poverty gap at national poverty lines (%), including noncomparable values
32	Urban poverty headcount ratio at national poverty lines (% of urban population)
33	Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values
33	Long-term unemployment (% of total unemployment)
34	Unemployment, total (% of total labor force) (modeled ILO estimate)
35	Unemployment, youth total (% of total labor force ages 15-24) (national estimate)
36	Children in employment, total (% of children ages 7-14)
37	Children in employment, male (% of male children ages 7-14)
38	Children in employment, female (% of female children ages 7-14)
39	Interest payments on external debt (% of GNI)
40	Lending interest rate (%)
41	Real interest rate (%)
42	Real effective exchange rate index (2010 = 100)
43	Total tax rate (% of commercial profits)
44	Central government debt, total (% of GDP)
45	Poverty gap at national poverty lines (%)
46	Urban poverty gap at national poverty lines (%)
47	Tariff rate, applied, weighted mean, all products (%)
48	Adjusted net national income per capita (constant 2005 US$)
49	Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)
50	Taxes on income, profits and capital gains (% of total taxes)
