¥éËCountry,Country Code,"2011 [YR2011] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2011 [YR2011] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2011 [YR2011] - GINI index (World Bank estimate) [SI.POV.GINI],2011 [YR2011] - Income share held by fourth 20% [SI.DST.04TH.20],2011 [YR2011] - Income share held by highest 10% [SI.DST.10TH.10],2011 [YR2011] - Income share held by highest 20% [SI.DST.05TH.20],2011 [YR2011] - Income share held by lowest 10% [SI.DST.FRST.10],2011 [YR2011] - Income share held by lowest 20% [SI.DST.FRST.20],2011 [YR2011] - Income share held by second 20% [SI.DST.02ND.20],2011 [YR2011] - Income share held by third 20% [SI.DST.03RD.20],2011 [YR2011] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],2011 [YR2011] - Number of poor at $3.10 a day (2011 PPP) (millions) [SI.POV.NOP2],"2011 [YR2011] - Population, total [SP.POP.TOTL]",2011 [YR2011] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2011 [YR2011] - Poverty gap at $3.10 a day (2011 PPP) (%) [SI.POV.GAP2],2011 [YR2011] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],"2011 [YR2011] - Poverty gap at national poverty lines (%), including noncomparable values [SI.POV.NAGP.NC]",2011 [YR2011] - Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) [SI.POV.DDAY],2011 [YR2011] - Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population) [SI.POV.2DAY],2011 [YR2011] - Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"2011 [YR2011] - Poverty headcount ratio at national poverty lines (% of population), including noncomparable values [SI.POV.NAHC.NC]",2011 [YR2011] - Rural poverty gap at national poverty lines (%) [SI.POV.RUGP],"2011 [YR2011] - Rural poverty gap at national poverty lines (%), including noncomparable values [SI.POV.RUGP.NC]",2011 [YR2011] - Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"2011 [YR2011] - Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values [SI.POV.RUHC.NC]","2011 [YR2011] - Survey mean consumption or income per capita, bottom 40% (2005 PPP $ per day) [SI.SPR.PC40.05]","2011 [YR2011] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]","2011 [YR2011] - Survey mean consumption or income per capita, total population (2005 PPP $ per day) [SI.SPR.PCAP.05]","2011 [YR2011] - Survey mean consumption or income per capita, total population (2011 PPP $ per day) [SI.SPR.PCAP]",2011 [YR2011] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2011 [YR2011] - Urban poverty gap at national poverty lines (%), including noncomparable values [SI.POV.URGP.NC]",2011 [YR2011] - Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC],"2011 [YR2011] - Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values [SI.POV.URHC.NC]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2012 [YR2012] - GINI index (World Bank estimate) [SI.POV.GINI],2012 [YR2012] - Income share held by fourth 20% [SI.DST.04TH.20],2012 [YR2012] - Income share held by highest 10% [SI.DST.10TH.10],2012 [YR2012] - Income share held by highest 20% [SI.DST.05TH.20],2012 [YR2012] - Income share held by lowest 10% [SI.DST.FRST.10],2012 [YR2012] - Income share held by lowest 20% [SI.DST.FRST.20],2012 [YR2012] - Income share held by second 20% [SI.DST.02ND.20],2012 [YR2012] - Income share held by third 20% [SI.DST.03RD.20],2012 [YR2012] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],2012 [YR2012] - Number of poor at $3.10 a day (2011 PPP) (millions) [SI.POV.NOP2],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2012 [YR2012] - Poverty gap at $3.10 a day (2011 PPP) (%) [SI.POV.GAP2],2012 [YR2012] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],"2012 [YR2012] - Poverty gap at national poverty lines (%), including noncomparable values [SI.POV.NAGP.NC]",2012 [YR2012] - Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) [SI.POV.DDAY],2012 [YR2012] - Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population) [SI.POV.2DAY],2012 [YR2012] - Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"2012 [YR2012] - Poverty headcount ratio at national poverty lines (% of population), including noncomparable values [SI.POV.NAHC.NC]",2012 [YR2012] - Rural poverty gap at national poverty lines (%) [SI.POV.RUGP],"2012 [YR2012] - Rural poverty gap at national poverty lines (%), including noncomparable values [SI.POV.RUGP.NC]",2012 [YR2012] - Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"2012 [YR2012] - Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values [SI.POV.RUHC.NC]","2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2005 PPP $ per day) [SI.SPR.PC40.05]","2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]","2012 [YR2012] - Survey mean consumption or income per capita, total population (2005 PPP $ per day) [SI.SPR.PCAP.05]","2012 [YR2012] - Survey mean consumption or income per capita, total population (2011 PPP $ per day) [SI.SPR.PCAP]",2012 [YR2012] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2012 [YR2012] - Urban poverty gap at national poverty lines (%), including noncomparable values [SI.POV.URGP.NC]",2012 [YR2012] - Urban poverty headcount ratio at national poverty lines (% of urban population) [SI.POV.URHC],"2012 [YR2012] - Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values [SI.POV.URHC.NC]"
Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,28809167,..,..,8.4,8.4,..,..,35.8,35.8,9.3,9.3,38.3,38.3,..,..,..,..,5.6,5.6,27.6,27.6,..,..,..,..,..,..,..,..,..,..,..,..,29726803,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,2904780,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.220414923,-1.314202703,28.96,22.81,22.93,37.82,3.66,8.85,13.17,17.34,0.030745183,0.196943203,2900489,0.22,1.43,2.9,2.9,1.06,6.79,14.3,14.3,3,3,15.3,15.3,..,4.078239506,..,7.406459615,2.9,2.9,13.6,13.6
Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,36717132,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37439427,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,21942296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22685632,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,..,..,43.57,22.43,31.84,48.66,1.57,4.58,9.54,14.79,0.637330925,1.499602176,41655616,0.83,1.45,..,..,1.53,3.6,..,..,..,..,..,..,..,..,..,..,..,..,6.5,6.5,6.427385951,3.128213664,42.49,22.88,30.77,47.51,1.6,4.73,9.75,15.13,0.686152151,1.553313766,42095224,0.77,1.48,..,..,1.63,3.69,..,..,..,..,..,..,..,7.667372609,..,21.18720324,..,..,5.4,5.4
Armenia,ARM,..,..,31.32,21.56,26.13,40.39,3.72,8.77,12.83,16.45,0.080135568,0.564807355,2967984,0.42,3.97,7.9,7.9,2.7,19.03,35,35,6.9,6.9,34.5,34.5,..,..,..,..,8.4,8.4,35.2,35.2,..,..,30.48,22.04,24.86,39.38,3.7,8.72,12.89,16.96,0.051823099,0.518230986,2978339,0.33,3.52,5.6,5.6,1.74,17.4,32.4,32.4,5.1,5.1,32.1,32.1,..,..,..,..,5.9,5.9,32.5,32.5
Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,22340024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22728254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,..,..,30.8,23.03,23.69,38.68,2.92,7.83,13.07,17.38,..,..,8391643,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37,0.39,30.48,23.01,23.45,38.41,2.84,7.78,13.29,17.5,..,..,8429991,..,..,..,..,..,..,..,..,..,..,..,..,..,28.30919,..,53.729098,..,..,..,..
Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,9173082,..,..,..,..,..,..,7.6,7.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9295784,..,..,..,..,..,..,6,6,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,153405612,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155257387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,9.130711697,8.135043009,26.46,22.83,21.47,35.87,3.88,9.37,14.04,17.89,0,0.0009473,9473000,0,0,..,..,0,0.01,7.3,7.3,..,..,11.5,11.5,..,10.07960656,..,17.23047581,..,..,5.8,5.8,..,..,26.01,22.5,21.54,35.78,4.05,9.65,14.13,17.94,0,0.0028392,9464000,0,0.01,..,..,0,0.03,6.3,6.3,..,..,9.4,9.4,..,..,..,..,..,..,5.2,5.2
Belgium,BEL,..,..,28.43,22.79,22.43,36.92,3.06,8.3,13.98,18.01,..,..,11047744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14,0.44,27.59,22.8,21.96,36.41,3.29,8.62,14.16,18.01,..,..,11128246,..,..,..,..,..,..,..,..,..,..,..,..,..,27.286607,..,47.918326,..,..,..,..
Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,329193,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,336707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,..,..,43.44,20.21,34.48,50.72,2.46,6.06,9.63,13.39,5.19383456,7.396153413,9779391,18.98,37.24,9.8,9.8,53.11,75.63,36.2,36.2,10.5,10.5,39.7,39.7,..,..,..,..,8.8,8.8,31.4,31.4,..,..,..,..,..,..,..,..,..,..,..,..,10049792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,732246,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.532871765,6.465591707,38.65,21.42,30.63,45.92,2.77,6.77,10.82,15.07,0.016361642,0.100400985,743711,0.42,3.03,2.6,2.6,2.2,13.5,12,12,3.6,3.6,16.7,16.7,..,3.526738329,..,8.043473258,0.3,0.3,1.8,1.8
Bolivia,BOL,..,..,46.26,22.16,33.8,50.65,1.05,3.69,9.17,14.33,0.802227745,1.473438396,10078238,3.65,6.55,19.93,19.93,7.96,14.62,45,45,34.35,34.35,61.3,61.3,..,..,..,..,12.79,12.79,36.8,36.8,10.10363021,4.287553527,46.7,22.7,33.55,50.5,0.82,3.27,8.96,14.57,0.928655713,1.614652767,10238762,4.85,7.72,20.33,20.33,9.07,15.77,43.44,43.44,35.38,35.38,61.2,61.2,..,3.704698515,..,12.11602314,12.88,12.88,34.66,34.66
