•ÈÀCountry Name,Country Code,2011 [YR2011] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2011 [YR2011] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2011 [YR2011] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]","2011 [YR2011] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]","2011 [YR2011] - Children in employment, male (% of male children ages 7-14) [SL.TLF.0714.MA.ZS]","2011 [YR2011] - Children in employment, female (% of female children ages 7-14) [SL.TLF.0714.FE.ZS]",2011 [YR2011] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2011 [YR2011] - Lending interest rate (%) [FR.INR.LEND],2011 [YR2011] - Real interest rate (%) [FR.INR.RINR],2011 [YR2011] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2011 [YR2011] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2011 [YR2011] - Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",2011 [YR2011] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],2011 [YR2011] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2011 [YR2011] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2011 [YR2011] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2011 [YR2011] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2011 [YR2011] - Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) [SI.SPR.PC40.ZG]",2011 [YR2011] - Income share held by highest 10% [SI.DST.10TH.10],2011 [YR2011] - Income share held by lowest 10% [SI.DST.FRST.10],"2011 [YR2011] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]",2012 [YR2012] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2012 [YR2012] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2012 [YR2012] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]","2012 [YR2012] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]","2012 [YR2012] - Children in employment, male (% of male children ages 7-14) [SL.TLF.0714.MA.ZS]","2012 [YR2012] - Children in employment, female (% of female children ages 7-14) [SL.TLF.0714.FE.ZS]",2012 [YR2012] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2012 [YR2012] - Lending interest rate (%) [FR.INR.LEND],2012 [YR2012] - Real interest rate (%) [FR.INR.RINR],2012 [YR2012] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2012 [YR2012] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2012 [YR2012] - Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",2012 [YR2012] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],2012 [YR2012] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2012 [YR2012] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2012 [YR2012] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2012 [YR2012] - Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) [SI.SPR.PC40.ZG]",2012 [YR2012] - Income share held by highest 10% [SI.DST.10TH.10],2012 [YR2012] - Income share held by lowest 10% [SI.DST.FRST.10],"2012 [YR2012] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]"
Afghanistan,AFG,..,8.899999619,..,9.3,13.1,5.1,0.055098351,15.14583333,4.146750003,..,36.3,..,8.4,5.6,..,..,..,..,..,..,28.37740961,..,8.5,..,..,..,..,0.045533522,15,6.181851186,..,36.3,..,..,..,6.79,..,..,..,..,..,32.29654235
Albania,ALB,74,14,23.89999962,..,..,..,0.678234208,12.4320986,9.89334145,..,38.3,..,..,..,1.26,..,2924.459774,..,..,..,..,77.30000305,13.89999962,27.89999962,..,..,..,0.698417997,10.88034654,9.739103093,..,38.5,..,2.9,2.9,1.09,0.22,2952.113217,-1.220414923,22.93,3.66,..
Algeria,DZA,71.40000153,10,22.39999962,..,..,..,0.052561292,8,-8.739848812,99.42832857,73,..,..,..,..,..,2316.891268,..,..,..,65.44709602,..,11,27.5,..,..,..,0.060945096,8,0.412432693,104.7883732,72.8,..,..,..,..,..,2465.088839,..,..,..,..
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,..,6.900000095,..,..,..,..,0.182285353,18.75724054,..,..,52.1,..,..,..,..,..,..,..,..,..,66.2819369,..,6.900000095,..,..,..,..,0.63377165,16.65640132,..,..,52.1,..,..,..,..,..,..,..,..,..,68.14933177
Antigua and Barbuda,ATG,..,..,..,..,..,..,..,10.91445252,9.467111191,98.36581972,41,..,..,..,..,..,..,..,..,..,12.64055132,..,..,..,..,..,..,..,10.15719664,7.470988724,104.0900341,41,..,..,..,..,..,..,..,..,..,12.7937769
Arab World,ARB,..,11.33532868,..,..,..,..,..,..,..,..,42.67,..,..,..,..,..,..,..,..,..,..,..,11.45592531,..,..,..,..,..,..,..,..,42.23809524,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,26.20000076,7.199999809,18.70000076,..,..,..,..,14.0875,-3.149625536,..,107.4,..,..,..,5.57,0.83,6828.085354,..,31.84,1.57,..,27.79999924,7.199999809,18.29999924,5.025251,6.394649,3.486703,..,14.06083333,-3.881143096,..,107.5,..,..,..,5.56,0.77,6863.919509,6.427385951,30.77,1.6,..
Armenia,ARM,52.70000076,18.39999962,39.20000076,..,..,..,1.629547488,17.75447379,12.91975789,100.0933318,38.8,..,7.9,8.4,..,0.42,1766.22589,..,26.13,3.72,27.52373094,52.70000076,17.29999924,35.40000153,..,..,..,1.61166902,17.23006824,11.28119329,96.80171997,38.8,..,5.6,5.9,2.29,0.33,1866.222255,..,24.86,3.7,28.18277486
Aruba,ABW,..,..,..,..,..,..,..,9.658333333,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.183333333,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,18.89999962,5.099999905,11.39999962,..,..,..,..,7.7375,1.460311026,107.082441,47.3,30.513578,..,..,1.81,..,30137.48864,..,..,..,71.13751525,19,5.199999809,11.69999981,..,..,..,..,6.975,4.81999084,109.7857518,47.2,40.40963051,..,..,..,..,31397.8162,..,..,..,72.62445721
Austria,AUT,26.29999924,4.099999905,8.899999619,..,..,..,..,..,..,100.4833333,50.8,80.14872034,..,..,1.09,..,33342.04152,..,23.69,2.92,46.57154157,24.89999962,4.300000191,9.399999619,..,..,..,..,..,..,98.8525,52.3,85.38330569,..,..,1.02,..,33176.18211,0.37,23.45,2.84,46.87914217
