Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0278600964814,-1.73123021368973,-2.31424986558664,0.281700159017001,1.49556676873257,-0.626409395980503,-0.62110794913849,,,
Angola,AGO,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2833315240813,26.2691041378438,10.4185082723017,1.6733901804372,-12.1901061297392,12.7438389853513,0.899323738177237,24.3139391971633,14.6525294209715,7.21600298768208,-10.9819021386584,0.859708441244577,11.4431362257832,6.6614457657935,,,
Albania,ALB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.90831843919014,-10.1847091619325,-12.1210908039608,-9.55616257203919,,,,-6.67839261865136,-2.83598710170375,-3.04455724394448,,,,,,,,,,,
Arab World,ARB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332391212709645,0.0309448246579877,0.0593307236413587,,,,,,,,,,,,0.0757648256502941,-0.190302797869361,0.230342585847874,0.279949936996629,
Argentina,ARG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.739865922211696,-0.848435545377766,-1.00431858662669,-0.300422797422082,-0.566883682178302,-0.542749555115262,-7.6008153669647,-4.96766177398105,-2.76440681102449,-1.30438168089872,,,
American Samoa,ASM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3251754354713,-9.76466207089336,-10.2315401693867,-5.54676118089046,-2.69216003419579,15.7042004484294,-7.00841339145966,-5.75411563623613,-6.07502585459533,-10.9998808832324,-1.38292944509238,-4.34643000759544,-1.34041441063546,,,
