,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,EAP,East Asia & Pacific,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,"68,507,970,000","68,228,650,000","78,053,590,000","74,503,050,000","71,631,710,000","92,026,930,000","109,962,500,000","124,388,500,000","143,892,900,000","165,821,700,000","193,026,600,000","215,645,200,000","268,861,300,000","333,443,300,000","366,935,200,000","413,916,500,000","403,286,000,000","439,387,000,000","540,410,800,000","529,224,000,000","603,783,700,000","751,215,700,000","963,342,500,000","1,188,207,000,000","1,466,921,000,000","1,784,416,000,000","2,085,670,000,000"
2,ECA,Europe & Central Asia,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,403,000,000","184,665,800,000","210,061,200,000","213,089,000,000","195,293,600,000","190,512,000,000","242,062,500,000","253,349,700,000","283,139,700,000","357,002,800,000","482,022,200,000","598,640,000,000","737,377,900,000","898,300,000,000","1,168,816,000,000"
3,EMU,Euro area,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"266,975,500,000","295,884,500,000","343,841,100,000","414,552,600,000","521,730,400,000","589,828,300,000","551,397,900,000","533,836,400,000","519,822,900,000","533,496,600,000","560,169,800,000","703,223,700,000","847,108,600,000","947,967,600,000","1,010,873,000,000","1,221,590,000,000","1,214,297,000,000","1,301,344,000,000","1,179,235,000,000","1,345,392,000,000","1,680,850,000,000","1,716,149,000,000","1,695,956,000,000","1,795,865,000,000","1,782,113,000,000","1,820,028,000,000","1,845,173,000,000","1,951,982,000,000","2,356,728,000,000","2,807,690,000,000","3,009,162,000,000","3,391,095,000,000","3,999,475,000,000","4,445,982,000,000"
4,HIC,High income,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"688,395,100,000","767,626,900,000","868,190,200,000","1,024,512,000,000","1,291,648,000,000","1,564,227,000,000","1,569,006,000,000","1,442,628,000,000","1,400,256,000,000","1,488,008,000,000","1,514,643,000,000","1,737,232,000,000","2,045,975,000,000","2,360,149,000,000","2,535,228,000,000","2,905,665,000,000","2,972,375,000,000","3,172,415,000,000","3,089,807,000,000","3,478,928,000,000","4,196,740,000,000","4,335,833,000,000","4,450,780,000,000","4,416,027,000,000","4,534,143,000,000","4,972,707,000,000","4,736,360,000,000","4,892,951,000,000","5,648,606,000,000","6,721,803,000,000","7,408,851,000,000","8,372,258,000,000","9,527,033,000,000","10,703,080,000,000"
5,HPC,Heavily indebted poor countries (HIPC),BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,"13,631,490,000","14,164,400,000","16,811,030,000","19,311,550,000","17,480,880,000","15,623,750,000","14,994,600,000","16,543,860,000","15,729,240,000","16,654,840,000","16,492,610,000","16,717,890,000","17,557,540,000","18,960,070,000","17,820,660,000","17,112,730,000","16,438,670,000","18,287,200,000","22,131,760,000","25,010,240,000","25,621,350,000","25,566,670,000","25,007,420,000","28,874,100,000","29,491,000,000","32,752,030,000","37,627,000,000","46,629,450,000","54,316,790,000","65,880,040,000","76,543,000,000","93,208,620,000"
6,LAC,Latin America & Caribbean,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,"72,350,750,000","94,548,340,000","102,642,000,000","93,113,070,000","93,771,740,000","105,352,300,000","99,670,250,000","85,803,090,000","98,499,280,000","114,351,700,000","127,097,200,000","140,501,600,000","141,213,400,000","150,736,500,000","165,275,400,000","191,982,000,000","233,713,900,000","261,728,600,000","291,198,500,000","287,779,400,000","303,718,500,000","364,781,700,000","349,646,600,000","353,390,300,000","384,925,500,000","476,313,500,000","572,748,200,000","682,029,200,000","767,699,600,000","889,864,000,000"
7,LDC,Least developed countries: UN classification,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,"12,470,250,000","11,666,170,000","13,155,210,000","13,931,580,000","14,831,920,000","16,789,920,000","18,043,730,000","16,307,770,000","16,101,850,000","18,811,530,000","22,520,930,000","25,242,520,000","26,363,420,000","24,117,060,000","27,990,280,000","35,794,700,000","35,673,750,000","38,972,450,000","44,842,480,000","57,034,370,000","77,151,730,000","97,167,500,000","121,342,500,000","161,136,600,000"
8,LIC,Low income,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,167,940,000","37,930,150,000","38,000,170,000","42,244,790,000","49,799,650,000","52,162,290,000","55,754,500,000","65,244,680,000","80,405,170,000","96,107,440,000","117,958,600,000","136,456,200,000","170,748,900,000"
9,LMC,Lower middle income,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,"137,026,600,000","134,119,600,000","140,652,200,000","135,601,900,000","115,959,000,000","146,067,100,000","164,119,000,000","186,930,300,000","226,699,700,000","244,920,800,000","268,925,300,000","284,164,600,000","340,129,500,000","409,170,600,000","455,483,100,000","500,419,600,000","474,649,000,000","513,699,200,000","637,067,500,000","635,208,300,000","723,543,100,000","905,922,500,000","1,174,244,000,000","1,481,401,000,000","1,822,676,000,000","2,242,381,000,000","2,679,152,000,000"
10,LMY,Low & middle income,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,"397,836,400,000","376,408,500,000","375,234,800,000","400,632,200,000","382,536,700,000","333,517,600,000","401,669,200,000","446,309,900,000","489,000,000,000","560,068,900,000","578,135,700,000","625,866,500,000","669,001,800,000","784,868,200,000","954,115,400,000","1,062,525,000,000","1,145,526,000,000","1,088,042,000,000","1,159,691,000,000","1,422,961,000,000","1,402,840,000,000","1,529,457,000,000","1,841,604,000,000","2,364,424,000,000","2,928,373,000,000","3,564,555,000,000","4,261,138,000,000","5,138,927,000,000"
