,,,,,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,EAP,East Asia & Pacific,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,2.49696,2.43297,2.31233,2.38362,2.05570,1.91637,1.83675,1.81786,1.66038,1.69048,1.71229,1.67607,1.83970,1.92906,1.93575,1.89082,1.84808,1.86587,1.82102,1.81485
2,ECA,Europe & Central Asia,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,,,,4.46297,3.99063,4.40466,3.50498,3.37378,3.62313,2.85411,3.00616,3.10478,3.12641,3.30843,3.16582,2.88652,2.78733,2.77393,2.65346,2.68187
3,EMU,Euro area,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),2.67544,2.57405,2.48903,2.36850,2.25732,2.20473,2.09628,1.98094,1.97038,1.93786,1.87778,1.85781,1.81911,1.77297,1.76934,1.75886,1.74189,1.69311,1.65457,1.62273,1.62306
4,HIC,High income,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),3.58282,3.49652,3.39321,3.14426,3.06395,2.90725,2.69552,2.48544,2.42783,2.42233,2.38140,2.29513,2.29730,2.34101,2.46293,2.54682,2.56157,2.58774,2.57345,2.55895,2.57835
5,HPC,Heavily indebted poor countries (HIPC),MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,,2.65391,2.28851,1.96217,1.94721,1.70870,1.73137,1.58139,1.56500,2.20591,2.64432,2.51028,2.07280,1.98955,1.75590,2.06059,1.85684,1.89611,1.49230,1.40474
6,LAC,Latin America & Caribbean,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),1.70068,1.82952,1.46363,1.17530,1.22941,1.41002,1.42469,1.64555,1.51933,1.48310,1.46851,1.40173,1.40143,1.44526,1.36133,1.23199,1.21045,1.26863,1.22093,1.27951,1.29418
7,LDC,Least developed countries: UN classification,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,,2.80767,2.93608,2.60348,2.97993,2.26600,2.09178,1.92319,2.09539,2.29822,3.23006,2.78903,2.39348,2.38770,2.26553,2.40233,2.34072,2.42521,2.12715,1.96609
8,LIC,Low income,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,2.97228,,,,,3.02443,2.71917,1.84471,1.88852,2.10269,2.27849,2.31243,2.01636,,1.91934,1.85375,1.75624,1.73484,1.77783,1.74625
9,LMC,Lower middle income,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,2.98412,2.82930,2.80824,2.72705,2.44811,2.33321,2.22809,2.16232,2.12538,2.19006,2.25388,2.20560,2.29092,2.23589,2.22218,2.23067,2.20066,2.16527,2.06138,1.97523
10,LMY,Low & middle income,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,6.00882,4.95956,2.23038,2.58269,2.48195,2.45098,2.29621,2.15347,2.15005,2.04556,2.09849,2.07707,2.15913,2.18674,2.13966,2.09274,2.05993,2.02006,1.97274,1.95697
11,MIC,Middle income,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,6.11811,5.03354,2.22184,2.59437,2.49022,2.43360,2.28374,2.16300,2.15809,2.04394,2.09243,2.07060,2.16333,2.18696,2.14747,2.10074,2.06941,2.02823,1.97793,1.96251
12,MNA,Middle East & North Africa,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),,3.22431,2.94462,,,3.44646,3.74553,3.27649,3.13486,3.31006,3.47371,3.44165,3.53069,3.82087,3.36393,3.41651,3.33513,3.30698,3.17489,2.85945,2.79551
