"Data Source","World Development Indicators",

"Last Updated Date","2016-07-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.415068473234864","0.421718804475719","0.254856631211657","0.250875362964284","0.331911482580671","0.599299316742653","","",
"Angola","AGO","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40328697850822","8.14214339245566","10.6874793706678","6.2314489504932","5.12161983032874","8.14919177306749","12.0448945787434","18.3895520513415","19.2277025086402","41.4158311188726","27.0481940134804","20.9294290203786","33.1233218783424","16.955540864724","15.3126558989808","13.6294849081646","10.7534071136788","13.2227480518254","9.90550010077986","2.52240096562521","8.54840540400047","4.47860374440486","4.17697673543646","5.8340179218937","6.98865861948614","10.7388243596907","",
"Albania","ALB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29879518072289","2.17545748116254","3.1763085399449","6.63629764065336","2.77322331647591","4.66031537450723","8.50694199732187","5.62894073139975","4.06762978250516","3.66341225286795","3.95415959252971","5.71757670355709","4.20699080150988","4.19917400750326","4.82315439514004","9.16478674896705","5.29228323718002","4.45230624574395","5.70759119399217","5.24634805148539","5.93518096501438","6.73326181723349","7.27685779659489","8.2146562867196","",
"Arab World","ARB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15351357583444","1.93869531045324","3.18414141699376","9.56991416212824","5.10795200238709","13.2532279656259","13.2469739243534","9.22933385870277","8.70282126359019","9.90705210142277","11.029602941499","11.6923054193131","7.31947972222764","6.73292148226092","6.66584649392371","11.9816138487127","17.4051871179299","29.7386121257431","24.5841175039597","29.1497226130015","46.3668949666425","31.691688561522","",
"American Samoa","ASM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
