"","","Current smoking of any tobacco product (age-standardized rate)","Current smoking of any tobacco product (age-standardized rate)","Current smoking of any tobacco product (age-standardized rate)","Daily smoking of any tobacco product (age-standardized rate)","Daily smoking of any tobacco product (age-standardized rate)","Daily smoking of any tobacco product (age-standardized rate)","Current smoking of cigarettes (age-standardized rate)","Current smoking of cigarettes (age-standardized rate)","Current smoking of cigarettes (age-standardized rate)","Daily smoking of cigarettes (age-standardized rate)","Daily smoking of cigarettes (age-standardized rate)","Daily smoking of cigarettes (age-standardized rate)"
"Country","Year"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"
"Afghanistan"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Albania"," 2013","29.7","8.0","51.7","23.8","6.2","41.7","24.5","5.0","44.4","21.3","4.6","38.4"
"Algeria"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Andorra"," 2013","33.1","28.1","38.1","27.9","23.6","32.2","27.2","22.9","31.4","22.0","18.7","25.3"
"Angola"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Antigua and Barbuda"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Argentina"," 2013","25.3","19.9","31.0","18.1","14.3","22.2","22.9","18.0","28.2","17.3","13.5","21.4"
"Armenia"," 2013","28.0","1.7","54.2","24.7","1.3","48.1","26.2","1.5","50.8","22.7","1.1","44.2"
"Australia"," 2013","16.0","14.3","17.8","13.7","12.4","15.1","13.0","11.3","14.9","11.0","9.6","12.3"
"Austria"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Azerbaijan"," 2013","23.5","0.4","47.8","18.6","0.3","38.0","18.7","0.3","38.2","15.5","0.3","31.7"
"Bahamas"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bahrain"," 2013","30.3","7.1","42.7","27.1","5.9","38.5","25.3","2.3","37.6","21.2","1.4","31.9"
"Bangladesh"," 2013","21.8","0.9","42.4","19.6","0.8","38.1","15.2","0.3","29.8","12.5","0.3","24.5"
"Barbados"," 2013","7.0","1.0","13.1","5.0","0.7","9.3","5.4","0.8","10.2","3.8","0.5","7.1"
"Belarus"," 2013","27.9","10.9","48.2","22.6","7.6","40.7","25.6","10.0","44.3","21.1","6.7","38.4"
"Belgium"," 2013","23.9","20.5","27.5","19.7","16.9","22.6","19.8","17.2","22.5","15.5","13.7","17.4"
"Belize"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Benin"," 2013","8.8","1.0","16.9","7.4","0.8","14.2","5.0","0.2","9.9","4.6","0.2","9.0"
"Bhutan"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bolivia (Plurinational State of)"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bosnia and Herzegovina"," 2013","39.2","30.8","48.3","32.1","24.1","40.6","31.7","25.0","38.9","28.2","21.1","35.9"
"Botswana"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Brazil"," 2013","16.1","12.1","20.3","12.7","9.4","16.3","14.0","10.3","17.9","11.5","8.3","15.0"
"Brunei Darussalam"," 2013","16.4","3.3","29.2","12.9","2.5","23.2","13.2","2.7","23.4","10.5","1.9","18.9"
"Bulgaria"," 2013","36.8","29.8","44.3","30.0","23.1","37.5","33.7","27.2","40.6","27.1","21.0","33.6"
"Burkina Faso"," 2013","19.1","4.8","34.1","16.2","4.3","28.7","12.4","0.7","24.7","7.7","0.6","15.1"
"Burundi"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Cote d'Ivoire"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Cabo Verde"," 2013","12.2","3.7","20.8","9.7","2.8","16.6","7.9","1.1","14.9","6.1","0.9","11.4"
"Cambodia"," 2013","23.0","3.2","44.7","19.8","2.7","38.5","19.4","2.8","37.6","16.8","2.5","32.4"
"Cameroon"," 2013","18.8","0.9","36.9","13.6","0.6","26.8","11.4","0.4","22.6","9.8","0.2","19.5"
"Canada"," 2013","16.2","13.6","18.9","11.9","9.9","13.9","15.6","13.0","18.3","11.7","9.7","13.7"
"Central African Republic"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Chad"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Chile"," 2013","38.9","36.8","41.0","27.5","25.8","29.4","32.7","30.5","34.9","23.0","21.1","25.0"
"China"," 2013","25.9","1.9","48.7","22.4","1.6","42.0","23.7","1.7","44.6","20.4","1.3","38.5"
"Colombia"," 2013","11.6","6.6","16.8","8.1","4.6","11.8","9.5","5.5","13.8","5.7","2.9","8.7"
"Comoros"," 2013","15.3","6.7","23.8","12.5","5.0","20.1","11.9","4.5","19.3","6.3","1.7","10.9"
"Congo"," 2013","18.5","1.7","35.5","13.0","1.1","25.0","12.0","0.8","23.3","9.8","0.5","19.2"
"Cook Islands"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Costa Rica"," 2013","14.2","8.9","19.3","8.3","5.1","11.3","11.9","7.6","16.1","6.9","4.2","9.4"
"Croatia"," 2013","36.0","32.7","39.5","31.1","27.6","34.9","28.9","26.0","32.0","24.7","20.8","28.9"
"Cuba"," 2013","36.1","19.1","53.1","23.4","13.7","33.2","28.5","14.8","42.2","21.0","11.3","30.8"
"Cyprus"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Czech Republic"," 2013","33.4","29.2","37.8","24.7","20.3","29.4","28.1","24.3","32.0","24.1","20.0","28.5"
"Democratic People's Republic of Korea"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Democratic Republic of the Congo"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Denmark"," 2013","18.9","18.0","19.9","15.6","14.9","16.2","15.8","15.6","15.9","11.5","11.4","11.6"
"Djibouti"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Dominica"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Dominican Republic"," 2013","14.5","10.0","19.0","11.3","8.0","14.7","10.4","7.2","13.6","8.9","6.2","11.6"
"Ecuador"," 2013","9.0","3.5","14.7","4.5","1.9","7.1","7.3","2.8","11.9","3.9","1.4","6.4"
"Egypt"," 2013","23.8","0.4","47.5","20.3","0.3","40.5","17.9","0.2","35.7","14.8","0.1","29.7"
"El Salvador"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Equatorial Guinea"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Eritrea"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Estonia"," 2013","33.2","25.3","42.8","26.1","18.1","35.7","27.2","20.5","35.3","23.6","16.5","32.2"
"Ethiopia"," 2013","4.7","0.5","8.9","3.3","0.3","6.3","3.8","0.2","7.5","2.9","0.1","5.7"
"Fiji"," 2013","26.5","12.7","40.0","18.1","8.0","28.0","20.9","9.8","31.8","15.1","6.8","23.2"
"Finland"," 2013","21.8","19.3","24.6","16.8","14.5","19.3","16.9","15.1","18.8","13.6","12.4","14.8"
"France"," 2013","28.1","25.8","30.6","23.5","21.5","25.5","22.8","20.8","24.9","20.1","18.1","22.3"
"Gabon"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Gambia"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Georgia"," 2013","30.0","5.8","58.5","24.0","3.9","47.7","27.0","5.3","52.5","21.7","3.4","43.3"
"Germany"," 2013","30.7","28.5","33.1","24.2","21.0","27.6","28.3","26.4","30.4","23.1","20.4","25.9"
"Ghana"," 2013","6.3","0.5","12.4","4.9","0.4","9.8","4.4","0.1","9.0","3.9","0.1","8.0"
"Greece"," 2013","43.4","33.5","53.8","35.2","25.1","45.8","36.5","28.4","45.0","29.7","22.1","37.6"
"Grenada"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guatemala"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guinea"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guinea-Bissau"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guyana"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Haiti"," 2013","11.8","2.7","21.5","8.6","2.0","15.6","9.8","2.3","17.8","4.8","1.0","8.9"
"Honduras"," 2013","18.9","2.3","35.9","11.1","1.4","21.1","13.8","1.8","26.1","9.9","1.1","18.8"
"Hungary"," 2013","29.6","26.0","33.6","25.1","21.7","28.9","24.1","20.7","27.8","22.1","19.4","25.2"
"Iceland"," 2013","17.5","16.3","18.6","13.1","13.1","13.1","13.4","12.7","14.2","11.5","10.7","12.4"
"India"," 2013","12.4","2.3","21.9","10.7","1.9","19.1","5.2","0.8","9.4","3.1","0.6","5.6"
"Indonesia"," 2013","38.5","3.8","73.3","33.1","2.4","63.9","33.2","3.5","63.0","30.8","2.3","59.4"
"Iran (Islamic Republic of)"," 2013","11.7","1.0","22.4","10.4","0.8","20.0","7.8","0.6","15.0","5.6","0.4","10.8"
"Iraq"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Ireland"," 2013","23.2","22.9","23.6","19.2","19.4","19.0","23.2","22.9","23.6","19.2","19.4","19.0"
"Israel"," 2013","30.4","19.8","41.5","23.3","15.0","31.9","25.1","16.4","34.3","21.6","13.4","30.3"
"Italy"," 2013","24.2","19.9","28.8","22.0","18.3","26.1","23.2","19.3","27.5","21.1","18.1","24.5"
"Jamaica"," 2013","17.6","6.2","29.7","13.0","4.7","21.8","14.7","5.2","24.8","9.3","3.5","15.3"
"Japan"," 2013","22.8","11.0","35.4","18.1","8.4","28.6","22.8","11.0","35.4","18.1","8.4","28.6"
"Jordan"," 2013","38.4","10.2","65.5","31.0","7.2","54.0","33.2","8.6","56.8","22.0","2.1","41.2"
"Kazakhstan"," 2013","26.3","9.5","45.3","17.4","5.9","30.3","24.2","8.1","42.2","16.1","5.9","27.6"
"Kenya"," 2013","13.6","2.2","25.1","9.8","1.2","18.5","10.2","0.6","20.0","8.7","0.6","17.1"
"Kiribati"," 2013","54.0","42.2","66.2","45.6","34.7","56.8","41.5","31.6","51.8","24.2","18.8","29.9"
"Kuwait"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Kyrgyzstan"," 2013","26.4","3.7","50.5","20.9","2.7","40.1","23.1","2.9","44.5","19.9","2.5","38.4"
"Lao People's Democratic Republic"," 2013","34.0","10.1","58.7","29.0","8.0","50.7","27.4","8.2","47.5","23.6","5.3","42.7"
"Latvia"," 2013","35.9","24.4","50.0","30.0","18.3","44.4","29.1","20.0","40.3","26.8","17.6","38.2"
"Lebanon"," 2013","37.0","29.9","43.9","28.7","21.1","36.0","30.7","24.2","37.0","16.9","6.1","27.4"
"Lesotho"," 2013","25.4","0.4","51.7","19.9","0.3","40.4","18.3","0.2","37.3","14.9","0.2","30.3"
"Liberia"," 2013","14.2","2.6","25.9","11.2","1.9","20.5","10.0","0.7","19.3","7.5","0.6","14.5"
"Libya"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Lithuania"," 2013","30.1","22.2","39.8","23.6","14.9","34.1","24.6","17.8","32.8","18.9","13.0","26.2"
"Luxembourg"," 2013","24.4","22.0","26.8","18.8","17.3","20.2","20.1","17.9","22.3","15.8","14.6","17.0"
"Madagascar"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Malawi"," 2013","16.3","6.4","26.3","11.9","3.8","20.1","11.7","1.2","22.4","9.7","1.2","18.1"
"Malaysia"," 2013","22.3","1.5","44.4","18.2","1.1","36.5","18.0","1.2","36.0","16.1","0.9","32.4"
"Maldives"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mali"," 2013","18.6","3.3","33.9","14.9","2.5","27.5","13.2","1.1","25.5","8.5","0.6","16.5"
"Malta"," 2013","25.9","20.9","30.9","20.7","16.1","25.3","21.0","16.8","25.3","18.3","14.2","22.4"
"Marshall Islands"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mauritania"," 2013","22.3","3.9","40.6","19.0","2.9","35.1","14.9","1.0","28.7","8.7","0.9","16.5"
"Mauritius"," 2013","21.9","3.4","41.0","16.0","1.6","31.0","19.6","3.0","36.8","14.5","1.2","28.4"
"Mexico"," 2013","14.5","7.3","22.5","8.3","4.0","13.1","13.3","6.6","20.7","8.0","3.8","12.6"
"Micronesia (Federated States of)"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Monaco"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mongolia"," 2013","26.8","5.6","48.7","22.7","4.5","41.6","21.7","4.5","39.5","20.2","4.1","36.9"
"Montenegro"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Morocco"," 2013","22.0","1.6","43.6","17.9","0.9","35.8","18.5","1.0","36.8","14.1","0.5","28.4"
"Mozambique"," 2013","18.8","6.1","32.7","13.4","3.9","23.7","12.8","1.8","24.8","10.5","1.5","20.3"
"Myanmar"," 2013","20.0","7.2","33.9","15.8","5.5","27.1","16.2","5.9","27.4","10.0","3.8","16.8"
"Namibia"," 2013","23.8","11.7","37.0","18.9","8.9","29.8","15.6","6.5","25.7","12.3","4.9","20.4"
"Nauru"," 2013","48.9","53.5","44.3","39.8","42.8","36.8","38.2","40.6","35.8","28.0","30.0","26.0"
"Nepal"," 2013","24.6","12.9","37.9","18.1","9.6","27.7","20.5","10.3","32.1","16.9","8.6","26.4"
"Netherlands"," 2013","25.7","24.2","27.3","19.6","18.6","20.6","21.1","19.8","22.4","18.8","17.7","20.0"
"New Zealand"," 2013","17.6","16.7","18.5","15.5","14.7","16.4","16.7","15.9","17.6","15.1","14.3","15.9"
"Nicaragua"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Niger"," 2013","8.4","0.2","16.7","6.0","0.2","11.8","6.3","0.0","12.6","5.6","0.0","11.3"
"Nigeria"," 2013","8.9","1.2","16.4","7.0","0.9","13.0","5.7","0.3","10.9","4.8","0.2","9.2"
"Niue"," 2013","16.6","11.8","21.5","11.7","7.9","15.6","13.9","9.8","18.1","9.3","6.5","12.1"
"Norway"," 2013","24.1","23.9","24.3","17.2","17.2","17.2","18.9","18.9","18.9","14.7","15.0","14.5"
"Oman"," 2013","13.5","1.0","19.5","10.9","0.7","15.8","10.5","0.5","15.3","8.2","0.2","12.1"
"Pakistan"," 2013","22.6","3.4","41.0","18.6","2.8","33.8","14.1","1.6","26.0","11.6","1.1","21.6"
"Palau"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Panama"," 2013","7.4","2.8","11.9","3.9","1.5","6.2","6.4","2.4","10.4","3.4","1.3","5.6"
"Papua New Guinea"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Paraguay"," 2013","19.5","8.6","30.3","11.9","5.1","18.6","15.6","7.0","24.2","9.9","3.7","16.0"
"Peru"," 2013","Not available","6.3","Not available","Not available","4.3","Not available","Not available","5.3","Not available","Not available","2.2","Not available"
"Philippines"," 2013","26.7","8.9","44.8","20.6","6.4","35.0","23.8","7.4","40.6","18.6","5.9","31.5"
"Poland"," 2013","29.4","25.2","34.0","23.2","18.9","27.9","26.8","22.8","31.3","22.6","18.4","27.1"
"Portugal"," 2013","22.6","14.0","31.9","17.7","10.0","26.1","18.5","11.3","26.2","15.2","8.6","22.2"
"Qatar"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Republic of Korea"," 2013","27.4","4.3","51.1","25.7","3.5","48.5","27.4","4.3","51.1","25.7","3.5","48.5"
"Republic of Moldova"," 2013","23.8","5.4","44.8","20.1","4.3","38.1","21.6","4.8","40.7","17.9","3.8","34.0"
"Romania"," 2013","30.5","23.1","38.5","25.7","18.6","33.4","26.7","19.8","34.1","23.8","17.7","30.4"
"Russian Federation"," 2013","39.5","22.7","59.8","33.4","18.1","51.9","36.1","20.6","55.0","31.0","16.8","48.2"
"Rwanda"," 2013","Not available","5.6","Not available","Not available","4.1","Not available","Not available","1.1","Not available","Not available","1.0","Not available"
"Saint Kitts and Nevis"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saint Lucia"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saint Vincent and the Grenadines"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Samoa"," 2013","32.0","19.8","43.5","24.4","14.1","34.0","25.0","15.5","34.0","21.5","12.8","29.7"
"San Marino"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Sao Tome and Principe"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saudi Arabia"," 2013","17.1","3.0","26.8","14.5","1.8","23.1","12.9","2.2","20.2","10.2","0.6","16.8"
"Senegal"," 2013","11.1","0.8","22.4","9.5","0.6","19.2","7.7","0.2","15.9","6.8","0.2","14.1"
"Serbia"," 2013","42.1","39.7","44.6","33.5","30.8","36.4","33.8","31.4","36.3","31.1","28.7","33.6"
"Seychelles"," 2013","26.7","9.0","43.7","20.7","6.6","34.3","20.3","5.5","34.7","15.7","3.1","27.7"
"Sierra Leone"," 2013","34.4","12.9","56.4","25.7","8.5","43.4","23.5","4.5","43.0","20.6","3.2","38.5"
"Singapore"," 2013","16.2","5.2","27.8","13.2","3.6","23.1","14.5","4.5","24.8","12.4","3.5","21.8"
"Slovakia"," 2013","28.8","18.0","40.4","22.0","12.9","31.8","23.7","14.6","33.4","18.8","10.8","27.5"
"Slovenia"," 2013","20.9","18.7","23.2","17.7","15.4","20.0","17.1","14.8","19.3","14.9","12.9","16.8"
"Solomon Islands"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Somalia"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"South Africa"," 2013","18.9","7.0","31.9","16.1","6.0","27.1","13.3","3.6","24.0","11.7","3.9","20.3"
"South Sudan"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Spain"," 2013","30.3","27.8","33.0","25.7","23.2","28.2","26.7","24.3","29.1","23.0","21.1","25.0"
"Sri Lanka"," 2013","14.1","0.4","28.8","10.9","0.3","22.2","9.8","0.2","20.1","7.5","0.1","15.3"
"Sudan"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Suriname"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Swaziland"," 2013","10.2","2.3","18.4","7.1","1.7","12.7","8.7","1.3","16.5","4.8","0.9","8.9"
